Designator,Mid X,Mid Y,Rotation,Layer
C1,13.4620,8.3820,90.00,Bottom
C2,15.7480,8.3820,-90.00,Bottom
C3,12.9540,20.3200,-90.00,Bottom
C4,21.8440,20.3200,-90.00,Bottom
C5,17.5260,20.3200,-90.00,Bottom
C6,19.5580,20.3200,-90.00,Bottom
C7,9.0170,20.3200,90.00,Bottom
C8,6.7310,20.3200,90.00,Bottom
JP1,16.0000,2.7940,0.00,Top
LCD1,30.4800,11.4300,0.00,Top
R1,15.2400,20.3200,-90.00,Bottom
U1,7.1120,11.4300,-90.00,Bottom
U2,13.5890,16.6370,90.00,Bottom
U$6,1.5550,16.8890,180.00,Bottom
U$7,28.8880,8.8660,180.00,Bottom
U$10,8.3820,20.3200,-90.00,Top
