Comment,Designator,Footprint,LCSC Part #
,JP1,Adafruit 1.3in 240x240 IPS TFT-import-fps:1X11_ROUND_76,C2894934
,U$2,Adafruit 1.3in 240x240 IPS TFT-import-fps:PCBFEAT-REV-040,
,TP1,Adafruit 1.3in 240x240 IPS TFT-import-fps:TESTPOINT_ROUND_1.5MM,
0.1uF,C4,Adafruit 1.3in 240x240 IPS TFT-import-fps:0603-NO,C14663
10,R5,Adafruit 1.3in 240x240 IPS TFT-import-fps:0603-NO,C22859
10K,"R1,R2,R4",Adafruit 1.3in 240x240 IPS TFT-import-fps:0603-NO,C98220
10uF,"C1,C2",Adafruit 1.3in 240x240 IPS TFT-import-fps:0805-NO,
2.2K,R3,Adafruit 1.3in 240x240 IPS TFT-import-fps:0603-NO,C4190
74HC4050,U1,Adafruit 1.3in 240x240 IPS TFT-import-fps:TSSOP16,
AP2112K-3.3,IC2,Adafruit 1.3in 240x240 IPS TFT-import-fps:SOT23-5L,
APX803-SAG,IC4,Adafruit 1.3in 240x240 IPS TFT-import-fps:SOT23,
BSS138,Q3,Adafruit 1.3in 240x240 IPS TFT-import-fps:SOT23-WIDE,C52895
DISP_LCD_ST7789_1.3IN,DISPLAY1,Adafruit 1.3in 240x240 IPS TFT-import-fps:TFT_1.3IN_240X240_24P,
FIDUCIAL,"U$3,U$4,U$5",Adafruit 1.3in 240x240 IPS TFT-import-fps:FIDUCIAL_1MM,
MICROSD,Q2,Adafruit 1.3in 240x240 IPS TFT-import-fps:MICROSD,
