Designator,Mid X,Mid Y,Rotation,Layer
C1,-19.5580,-11.6840,-90.00,Top
C2,-11.8110,-10.7950,-90.00,Top
C3,20.8280,-8.3820,180.00,Top
C4,-6.4770,6.6040,0.00,Top
IC1,-6.3500,-0.1270,-90.00,Top
IC2,-15.6210,-10.6680,-90.00,Top
Q1,-12.7000,11.0490,0.00,Top
Q2,11.5570,-5.9690,90.00,Top
R1,-7.4930,10.1600,180.00,Top
R2,-17.2720,10.1600,180.00,Top
U$1,0.0000,0.0000,90.00,Bottom
U$2,-25.4000,0.0000,-90.00,Top
U$3,20.3200,-14.7320,0.00,Top
U$4,-22.0980,15.2400,0.00,Top
U$5,20.8280,15.2400,0.00,Top
U$6,4.3180,7.3660,-90.00,Top
