Comment,Designator,Footprint,LCSC Part #
,U$30,Adafruit 2.4in TFT FeatherWing V2-import-fps:ADAFRUIT_5MM,
,U$29,Adafruit 2.4in TFT FeatherWing V2-import-fps:FEATHERLOGO_MED,
,U$34,Adafruit 2.4in TFT FeatherWing V2-import-fps:PCBFEAT-REV-040,
,PLABEL0,Adafruit 2.4in TFT FeatherWing V2-import-fps:PLABEL0,
,PLABEL1,Adafruit 2.4in TFT FeatherWing V2-import-fps:PLABEL1,
,PLABEL10,Adafruit 2.4in TFT FeatherWing V2-import-fps:PLABEL10,
,PLABEL11,Adafruit 2.4in TFT FeatherWing V2-import-fps:PLABEL11,
,PLABEL12,Adafruit 2.4in TFT FeatherWing V2-import-fps:PLABEL12,
,PLABEL13,Adafruit 2.4in TFT FeatherWing V2-import-fps:PLABEL13,
,PLABEL2,Adafruit 2.4in TFT FeatherWing V2-import-fps:PLABEL2,
,PLABEL3,Adafruit 2.4in TFT FeatherWing V2-import-fps:PLABEL3,
,PLABEL4,Adafruit 2.4in TFT FeatherWing V2-import-fps:PLABEL4,
,PLABEL5,Adafruit 2.4in TFT FeatherWing V2-import-fps:PLABEL5,
,PLABEL6,Adafruit 2.4in TFT FeatherWing V2-import-fps:PLABEL6,
,PLABEL7,Adafruit 2.4in TFT FeatherWing V2-import-fps:PLABEL7,
,PLABEL8,Adafruit 2.4in TFT FeatherWing V2-import-fps:PLABEL8,
,PLABEL9,Adafruit 2.4in TFT FeatherWing V2-import-fps:PLABEL9,
,"TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27",Adafruit 2.4in TFT FeatherWing V2-import-fps:TESTPOINT_PAD_2MM,
0.1uF,"C1,C2,C4",Adafruit 2.4in TFT FeatherWing V2-import-fps:0603-NO,C14663
10,"R1,R2,R3,R4",Adafruit 2.4in TFT FeatherWing V2-import-fps:0603-NO,C22859
100K,"R5,R6,R10,R11",Adafruit 2.4in TFT FeatherWing V2-import-fps:0603-NO,C25803
10K,"R7,R8,R9,R12,R13,R14",Adafruit 2.4in TFT FeatherWing V2-import-fps:0603-NO,C98220
10uF,"C3,C5,C6",Adafruit 2.4in TFT FeatherWing V2-import-fps:0805-NO,
1N4148,D1,Adafruit 2.4in TFT FeatherWing V2-import-fps:SOD-323,
A0,ICSP_CLK2,Adafruit 2.4in TFT FeatherWing V2-import-fps:SOLDERJUMPER_ARROW_NOPASTE,
A1,ICSP_CLK1,Adafruit 2.4in TFT FeatherWing V2-import-fps:SOLDERJUMPER_ARROW_NOPASTE,
AP2127K-3.3,U2,Adafruit 2.4in TFT FeatherWing V2-import-fps:SOT23-5,
APX803,IC5,Adafruit 2.4in TFT FeatherWing V2-import-fps:SOT23,
BSS138,Q4,Adafruit 2.4in TFT FeatherWing V2-import-fps:SOT23-WIDE,C52895
DISP_LCD_240X320_50PIN-2.4IN,U$10,Adafruit 2.4in TFT FeatherWing V2-import-fps:TFT_2.4IN_240X320_50PIN,
FEATHERWING_SMTDUAL,MS2,Adafruit 2.4in TFT FeatherWing V2-import-fps:FEATHERWING_SMT2,
MicroSD,X2,Adafruit 2.4in TFT FeatherWing V2-import-fps:MICROSD,
RA TACT,SW3,Adafruit 2.4in TFT FeatherWing V2-import-fps:SPST_TACTILE_RA,
Slide Switch,SW2,Adafruit 2.4in TFT FeatherWing V2-import-fps:EG1390,
STEMMA_I2C_QT,CONN1,Adafruit 2.4in TFT FeatherWing V2-import-fps:JST_SH4,C160404
TSC2007PW,IC1,Adafruit 2.4in TFT FeatherWing V2-import-fps:TSSOP16,
