Comment,Designator,Footprint,LCSC Part #
,"BACKLITEPWM0,GND0,JP3,JP4,JP5,JP6,JP7",Adafruit 5in HDMI Backpack-import-fps:1X01_SMD_MASKHELD_2X2MM,C7501259
,U$75,Adafruit 5in HDMI Backpack-import-fps:ADAFRUIT_TEXT_30MM,
,U$76,Adafruit 5in HDMI Backpack-import-fps:PCBFEAT-REV-056,
0.01uF,"C21,C22",Adafruit 5in HDMI Backpack-import-fps:0805-NO,
0.1u,C5,Adafruit 5in HDMI Backpack-import-fps:0805-NO,
0.1uF,"C1,C2,C3,C7,C8,C9,C10,C11,C19,C20,C23",Adafruit 5in HDMI Backpack-import-fps:0805-NO,
0.1uF,"C4,C6",Adafruit 5in HDMI Backpack-import-fps:_0805MP,
100uF/6V,C24,Adafruit 5in HDMI Backpack-import-fps:PANASONIC_C,
10K,"R1,R3,R4,R13,R18",Adafruit 5in HDMI Backpack-import-fps:0805-NO,C17414
10K,"R2,R5",Adafruit 5in HDMI Backpack-import-fps:_0805MP,C17414
10uF,"C12,C13,C14,C15,C16",Adafruit 5in HDMI Backpack-import-fps:0805-NO,
12,"R15,R16",Adafruit 5in HDMI Backpack-import-fps:0805-NO,C2907226
12MHz,Y1,Adafruit 5in HDMI Backpack-import-fps:RESONATOR-SMD,
15uH,L1,Adafruit 5in HDMI Backpack-import-fps:INDUCTOR_5X5MM_NR5040_NOTHERMALS,
1K,"R14,R19,R20,R21",Adafruit 5in HDMI Backpack-import-fps:0805-NO,C17513
1N4148,D3,Adafruit 5in HDMI Backpack-import-fps:SOD-323,
1uF,"C17,C18,C25",Adafruit 5in HDMI Backpack-import-fps:0805-NO,
24LC02BT-I/OT,U2,Adafruit 5in HDMI Backpack-import-fps:SOT23-5,
33,"R6,R7,R8,R9,R10,R11,R12",Adafruit 5in HDMI Backpack-import-fps:RESPACK_4X0603,C23140
47151-0001,X1,Adafruit 5in HDMI Backpack-import-fps:HDMI_MOLEX_47151-0001_DIMLAYER,
AR1100,IC1,Adafruit 5in HDMI Backpack-import-fps:TSSOP20-5.3MMBODY,
Blue,LED3,Adafruit 5in HDMI Backpack-import-fps:CHIPLED_0805_NOOUTLINE,
BSS138,Q1,Adafruit 5in HDMI Backpack-import-fps:SOT23-WIDE,C52895
FAN5333BSX,U4,Adafruit 5in HDMI Backpack-import-fps:SOT23-5,
Ferrite,"FB1,FB2,FB3,FB4,FB5,FB6,FB7,FB8",Adafruit 5in HDMI Backpack-import-fps:_0805MP,
Green,LED2,Adafruit 5in HDMI Backpack-import-fps:CHIPLED_0805_NOOUTLINE,
LT1117(3V3),U3,Adafruit 5in HDMI Backpack-import-fps:SOT223-R,
MBR0540,D1,Adafruit 5in HDMI Backpack-import-fps:SOD-123,
MicroUSB,X2,Adafruit 5in HDMI Backpack-import-fps:4UCONN_20329,
MM3Z24VT1G,D2,Adafruit 5in HDMI Backpack-import-fps:SMADIODE,
Red,LED1,Adafruit 5in HDMI Backpack-import-fps:CHIPLED_0805_NOOUTLINE,
TFP401,U1,Adafruit 5in HDMI Backpack-import-fps:S-PQFP-G100,
TFTLCD-KD50G21-40NT-A1,J1,Adafruit 5in HDMI Backpack-import-fps:TFTLCD-KD50G21-40NT-A1,
