Comment,Designator,Footprint,LCSC Part #
,JP2,Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:1X10_ROUND_76,C57369
,U$17,Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:ADAFRUIT_3.5MM,
,U$28,Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:LOGIC_5VREADY_5MM,
,CN1,Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:MICROSD,
0.1uF,C2,Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:0805,
100K,R1,Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:0805,C149504
10K,R2,Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:0805,C17414
10uF,"C1,C8",Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:0805,
10uF/16V,"C3,C4,C5",Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:0805,
10uH,L1,Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:INDUCTOR_1007,
74HC4050,U2,Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:SOIC16,
920K,R3,Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:0805,
BAT54T1G,D1,Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:SOD-123,
FAN5331SX,U1,Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:SOT23-5,
FIDUCIAL,"U$12,U$13,U$16",Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:FIDUCIAL_1MM,
MIC5225-3.3,IC1,Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:SOT23-5L,
UG-9664HDDAG01,LCD1,Adafruit 96x64 RGB OLED Breakout v2.0-import-fps:UG-9664HDDAG01_WRAPAROUND,
