Designator,Comment,Footprint,OOMP ID,Reason
C1,10nF,Adafuit_10DOF-import-fps:_0805MP,,No verified LCSC part number
C2,470nF,Adafuit_10DOF-import-fps:_0805MP,,No verified LCSC part number
C3,0.1uF,Adafuit_10DOF-import-fps:_0805MP,,No verified LCSC part number
C4,0.1uF,Adafuit_10DOF-import-fps:_0805MP,,No verified LCSC part number
C5,10uF,Adafuit_10DOF-import-fps:_0805MP,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C6,4.7uF,Adafuit_10DOF-import-fps:_0805MP,electronic_capacitor_0805_4_7_micro_farad,No verified LCSC part number
C7,0.22µF,Adafuit_10DOF-import-fps:_0805MP,,No verified LCSC part number
C8,10uF,Adafuit_10DOF-import-fps:_0805MP,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C9,10uF,Adafuit_10DOF-import-fps:_0805MP,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
U1,L3GD20,Adafuit_10DOF-import-fps:L3G4200D_LGA16L,,No verified LCSC part number
U2,LSM303DLHC,Adafuit_10DOF-import-fps:LGA14,,No verified LCSC part number
U3,BMP180,Adafuit_10DOF-import-fps:BMP180_EXTENDED,,No verified LCSC part number
U4,MIC5225-3.3,Adafuit_10DOF-import-fps:SOT23-5,,No verified LCSC part number
U$25,,Adafuit_10DOF-import-fps:SYMBOL_GYROXYZ_10MM,,No verified LCSC part number
U$26,,Adafuit_10DOF-import-fps:ADAFRUIT_TEXT_20MM,,No verified LCSC part number
U$32,,Adafuit_10DOF-import-fps:ADAFRUIT_3.5MM,,No verified LCSC part number
