Designator,Mid X,Mid Y,Rotation,Layer
C4,6.7310,5.7150,0.00,Top
C5,8.1280,12.1920,0.00,Top
C6,11.0490,13.7160,180.00,Top
CONN3,22.2250,8.8900,90.00,Top
CONN4,3.1750,8.8900,-90.00,Top
D1,3.5560,12.5730,90.00,Top
D2,18.2880,5.4610,180.00,Top
JP1,12.7000,2.5400,0.00,Top
PLABEL14,13.5890,7.3660,180.00,Bottom
PLABEL15,14.2240,4.1910,0.00,Top
PLABEL16,19.0500,4.0640,0.00,Top
PLABEL17,6.4770,0.8890,0.00,Top
PLABEL18,9.0170,4.1910,0.00,Top
PLABEL19,11.5570,0.8890,0.00,Top
PLABEL20,16.6370,0.8890,0.00,Top
PLABEL21,21.9710,0.8890,0.00,Top
PLABEL22,13.7160,16.6370,0.00,Top
PLABEL23,13.5890,15.1130,0.00,Top
PLABEL24,12.7000,11.3030,180.00,Bottom
PLABEL25,12.7000,15.6210,180.00,Bottom
PLABEL26,12.7000,0.8890,180.00,Bottom
PLABEL27,12.7000,4.8260,180.00,Bottom
Q2,17.0180,7.7470,90.00,Top
R1,14.2240,5.3340,180.00,Top
R2,17.1450,11.4300,180.00,Top
R4,14.0970,13.7160,180.00,Top
R5,5.5880,12.4460,-90.00,Top
U1,8.1280,8.7630,0.00,Top
U2,12.7000,8.8900,180.00,Top
U$6,20.7010,14.6050,180.00,Bottom
U$7,7.1120,14.6050,180.00,Bottom
U$46,4.5720,13.7160,0.00,Top
U$47,20.3200,6.9850,180.00,Bottom
U$48,22.4790,4.1910,90.00,Bottom
U$49,3.0480,12.9540,-90.00,Bottom
