Comment,Designator,Footprint,LCSC Part #
,JP2,Adafruit BNO055-import-fps:1X04_ROUND_76,C42431795
,JP1,Adafruit BNO055-import-fps:1X06_ROUND_76,C37208
,U$33,Adafruit BNO055-import-fps:ADAFRUIT_2.5MM,
,U$28,Adafruit BNO055-import-fps:ADAFRUIT_TEXT_20MM,
,U$3,Adafruit BNO055-import-fps:PCBFEAT-REV-040,
0.1uF,C3,Adafruit BNO055-import-fps:0805-NO,
0.1uF,C4,Adafruit BNO055-import-fps:0805_10MGAP,
10K,"R3,R4,R5,R6,R7,R10",Adafruit BNO055-import-fps:0805-NO,C17414
10K,"R8,R9",Adafruit BNO055-import-fps:_0805MP,C17414
10uF,C5,Adafruit BNO055-import-fps:0805-NO,
10uF,C6,Adafruit BNO055-import-fps:0805_10MGAP,
1n4148,D1,Adafruit BNO055-import-fps:SOD-323,
22pF,"C1,C2",Adafruit BNO055-import-fps:0805-NO,
32.768kHz,Y1,Adafruit BNO055-import-fps:CRYSTAL_8X3.8,
BNO055,U$2,Adafruit BNO055-import-fps:BNO055,
BSS138,"Q1,Q2",Adafruit BNO055-import-fps:SOT23-WIDE,C52895
MIC5225-3.3,U1,Adafruit BNO055-import-fps:SOT23-5,
