Designator,Mid X,Mid Y,Rotation,Layer
C1,18.4900,10.6480,-90.00,Top
C2,42.5450,17.0180,0.00,Top
C3,41.4020,20.0660,0.00,Top
C4,32.8930,24.5110,0.00,Top
C5,37.8460,26.5430,180.00,Top
C6,43.3070,23.8760,0.00,Top
C15,34.0320,20.7400,90.00,Top
C16,43.2680,21.9350,0.00,Top
C20,46.6260,7.1640,90.00,Top
C21,39.7610,7.1640,90.00,Top
C22,42.5450,15.1130,0.00,Top
C23,42.5450,13.2080,0.00,Top
C24,42.5450,11.3030,0.00,Top
D1,33.2740,26.5430,180.00,Top
D2,35.0520,28.5750,0.00,Top
D3,40.6400,24.6380,90.00,Top
EINK1,49.7840,20.1295,90.00,Bottom
JP2,30.4800,2.5400,180.00,Top
L1,37.0840,23.2410,180.00,Top
PLABEL0,44.5960,3.7190,0.00,Top
PLABEL1,26.7160,0.4720,0.00,Top
PLABEL2,39.3160,3.7190,0.00,Top
PLABEL3,31.3210,0.3810,0.00,Top
PLABEL4,33.9490,3.8100,0.00,Top
PLABEL5,36.8760,0.3180,0.00,Top
PLABEL6,29.1290,3.8100,0.00,Top
PLABEL7,23.5410,3.6830,0.00,Top
PLABEL8,19.0960,3.6830,0.00,Top
PLABEL9,16.0560,0.3810,0.00,Top
PLABEL10,21.1470,0.3810,0.00,Top
PLABEL11,41.8290,0.3450,0.00,Top
PLABEL12,14.0160,3.6830,0.00,Top
PLABEL13,29.9720,37.9730,0.00,Top
PLABEL14,52.0700,31.7500,0.00,Top
PLABEL15,30.4800,38.1000,180.00,Bottom
PLABEL16,46.8820,3.7190,180.00,Bottom
PLABEL17,44.4960,0.3450,180.00,Bottom
PLABEL18,41.9830,3.7190,180.00,Bottom
PLABEL19,34.8770,0.3810,180.00,Bottom
PLABEL20,36.9970,3.8100,180.00,Bottom
PLABEL21,39.4160,0.3180,180.00,Bottom
PLABEL22,31.6690,3.8100,180.00,Bottom
PLABEL23,27.0970,3.6830,180.00,Bottom
PLABEL24,21.6360,3.6830,180.00,Bottom
PLABEL25,19.6120,0.3810,180.00,Bottom
PLABEL26,30.4800,35.5600,180.00,Bottom
PLABEL27,24.7030,0.3810,180.00,Bottom
PLABEL28,29.2560,0.4720,180.00,Bottom
PLABEL29,16.5560,3.6830,180.00,Bottom
Q5,43.5610,27.0510,180.00,Top
R1,15.2400,7.6200,90.00,Top
R2,22.8600,7.6200,90.00,Top
R3,25.4000,7.6200,90.00,Top
R4,46.2280,25.5270,-90.00,Top
R5,30.4800,7.6200,90.00,Top
R6,20.3200,7.6200,90.00,Top
U1,23.7490,22.3520,-90.00,Top
U2,43.0070,7.1640,90.00,Top
U4,23.6420,12.4250,90.00,Top
U$9,3.5560,6.9850,0.00,Top
U$28,2.3730,27.8790,0.00,Top
U$35,37.4650,27.9400,0.00,Top
X1,30.4800,32.3850,180.00,Top
X2,8.4074,19.9771,-90.00,Top
