Designator,Mid X,Mid Y,Rotation,Layer
C1,10.5410,11.0490,0.00,Top
C2,16.6370,13.7160,90.00,Top
C3,13.9700,13.4620,0.00,Top
C4,10.5410,12.8270,0.00,Top
C5,9.5250,7.3660,0.00,Top
D1,5.7150,7.3660,0.00,Top
D2,16.3830,16.1290,0.00,Top
D3,10.9220,15.7480,-90.00,Top
D5,13.9700,7.3660,180.00,Top
D6,17.6530,9.2710,-90.00,Top
JP1,12.7000,2.5400,0.00,Top
JP2,1.2700,23.4950,-90.00,Top
JP5,24.1300,23.4950,-90.00,Top
R2,6.9850,15.3670,0.00,Top
R4,10.1600,9.1440,0.00,Top
SW1,6.0960,10.9220,90.00,Top
SW2,20.1930,10.9220,90.00,Top
U1,14.4780,10.5410,90.00,Top
U$2,21.5900,39.1160,180.00,Bottom
U$3,4.0640,3.8100,0.00,Top
U$12,22.8600,28.1940,180.00,Bottom
U$13,21.7170,35.8140,180.00,Bottom
X1,12.7000,30.9880,0.00,Top
X2,12.7000,8.8900,0.00,Bottom
