Designator,Comment,Footprint,OOMP ID,Reason
C1,10uF,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C2,10uF,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C3,10uF,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C6,10uF,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C7,10uF,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C8,10uF,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C9,10uF,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C12,10uF,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
CHG0,ORANGE,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:CHIPLED_0603_NOOUTLINE,electronic_led_0603,No verified LCSC part number
CONN1,STEMMA_I2C_QTRA,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:JST_SH4_RA,,No verified LCSC part number
D3,RED,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:CHIPLED_0603_NOOUTLINE,electronic_led_0603_red,No verified LCSC part number
D4,MBR540,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:SOD-123,,No verified LCSC part number
DISP1,DISP_LCD_GENERIC_SPI_1.14IN_240X135_WRAPUNDER,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:TFT_1.14IN_240X135_WRAPUNDER,,No verified LCSC part number
LED1,WS2812B_SK6805_1515,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:SK6805_1515,,No verified LCSC part number
PLABEL0,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL0,,No verified LCSC part number
PLABEL1,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL1,,No verified LCSC part number
PLABEL2,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL2,,No verified LCSC part number
PLABEL3,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL3,,No verified LCSC part number
PLABEL4,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL4,,No verified LCSC part number
PLABEL5,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL5,,No verified LCSC part number
PLABEL6,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL6,,No verified LCSC part number
PLABEL7,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL7,,No verified LCSC part number
PLABEL8,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL8,,No verified LCSC part number
PLABEL9,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL9,,No verified LCSC part number
PLABEL10,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL10,,No verified LCSC part number
PLABEL11,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL11,,No verified LCSC part number
PLABEL12,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL12,,No verified LCSC part number
PLABEL13,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL13,,No verified LCSC part number
PLABEL14,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL14,,No verified LCSC part number
PLABEL15,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL15,,No verified LCSC part number
PLABEL16,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL16,,No verified LCSC part number
PLABEL17,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL17,,No verified LCSC part number
PLABEL18,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL18,,No verified LCSC part number
PLABEL19,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL19,,No verified LCSC part number
PLABEL20,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL20,,No verified LCSC part number
PLABEL21,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL21,,No verified LCSC part number
PLABEL22,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL22,,No verified LCSC part number
PLABEL23,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL23,,No verified LCSC part number
PLABEL24,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL24,,No verified LCSC part number
PLABEL25,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL25,,No verified LCSC part number
PLABEL26,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL26,,No verified LCSC part number
PLABEL27,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL27,,No verified LCSC part number
PLABEL28,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL28,,No verified LCSC part number
PLABEL29,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL29,,No verified LCSC part number
PLABEL30,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL30,,No verified LCSC part number
PLABEL31,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL31,,No verified LCSC part number
PLABEL32,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL32,,No verified LCSC part number
PLABEL33,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL33,,No verified LCSC part number
PLABEL34,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL34,,No verified LCSC part number
PLABEL35,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL35,,No verified LCSC part number
PLABEL36,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:PLABEL36,,No verified LCSC part number
Q3,DMG3415U,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:SOT23-R,,No verified LCSC part number
SW1,KMR2,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:BTN_RKB2_4.6X2.8,,No verified LCSC part number
SW2,KMR2,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:BTN_RKB2_4.6X2.8,,No verified LCSC part number
SW3,KMR2,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:BTN_RKB2_4.6X2.8,,No verified LCSC part number
SW4,KMR2,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:BTN_RKB2_4.6X2.8,,No verified LCSC part number
SW5,KMR2,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:BTN_RKB2_4.6X2.8,,No verified LCSC part number
TP1,,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:TESTPOINT_ROUND_1.5MM_NO,,No verified LCSC part number
U1,ESP32-S2-MODULE_MINI,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:ESP32-S2-MINI-1,,No verified LCSC part number
U2,RT9080/AP2112-3.3,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:SOT23-5,,No verified LCSC part number
U3,MCP73831T-2ACI/OT,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:SOT23-5,,No verified LCSC part number
U4,BME280,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:BME280,,No verified LCSC part number
U5,RT9080/AP2112-3.3,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:SOT23-5,,No verified LCSC part number
U$34,FIDUCIAL_1MM,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:FIDUCIAL_1MM,,No verified LCSC part number
U$35,FIDUCIAL_1MM,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:FIDUCIAL_1MM,,No verified LCSC part number
X1,JSTPH,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:JSTPH2_BATT,,No verified LCSC part number
X2,MAX17048/T,Adafruit Feather ESP32-S2 Reverse TFT-import-fps:TDFN8_2X2MM,,No verified LCSC part number
