Ref,Val,Package,PosX,PosY,Rot,Side
"CHG0","ORANGE","CHIPLED_0603_NOOUTLINE",49.022000,5.461000,-90.000000,bottom
"CONN1","STEMMA_I2C_QTRA","JST_SH4_RA",39.878000,11.557000,-0.000000,bottom
"D3","RED","CHIPLED_0603_NOOUTLINE",49.276000,17.399000,90.000000,bottom
"DISP1","DISP_LCD_GENERIC_SPI_1.14IN_240X135_WRAPUNDER","TFT_1.14IN_240X135_WRAPUNDER",4.318000,11.430000,90.000000,bottom
"JP1","","1X16_ROUND_MIN",25.400000,1.270000,-0.000000,bottom
"JP3","","1X12_ROUND_MIN",20.320000,21.590000,180.000000,bottom
"LED1","WS2812B_SK6805_1515","SK6805_1515",45.593000,17.526000,90.000000,bottom
"SW1","KMR2","BTN_KMR2_4.6X2.8",37.084000,6.223000,90.000000,bottom
"SW2","KMR2","BTN_KMR2_4.6X2.8",41.783000,6.223000,90.000000,bottom
"U$9","","ADAFRUIT_3.5MM",0.381000,3.238500,90.000000,bottom
"U$31","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",48.260000,20.320000,-90.000000,bottom
"U$32","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",48.260000,2.540000,-90.000000,bottom
"U$34","FIDUCIAL_1MM","FIDUCIAL_1MM",45.466000,21.844000,-90.000000,bottom
"U$35","FIDUCIAL_1MM","FIDUCIAL_1MM",6.455200,4.045600,-90.000000,bottom
"X1","JSTPH","JSTPH2_BATT",40.005000,19.304000,180.000000,bottom
"X3","USB C","USB_C_CUSB31-CFM2AX-01-X",48.133000,11.430000,-90.000000,bottom
"C1","10uF","0805-NO",38.608000,6.146800,0.000000,top
"C2","10uF","0805-NO",26.911300,5.905500,90.000000,top
"C3","10µF","0805-NO",40.716200,14.478000,0.000000,top
"C4","1uF","0603-NO",41.732200,4.622800,0.000000,top
"C5","1uF","0603-NO",25.019000,18.224500,0.000000,top
"C6","10µF","0805-NO",37.602800,11.816000,90.000000,top
"C7","10uF","0805-NO",23.050500,5.905500,90.000000,top
"C8","10µF","0805-NO",25.016700,5.914700,90.000000,top
"C9","10uF","0805-NO",32.131000,8.382000,90.000000,top
"C10","1uF","0603-NO",35.052000,5.207000,180.000000,top
"C11","1uF","0603-NO",26.543000,16.065500,180.000000,top
"C12","10uF","0805-NO",26.670000,13.589000,90.000000,top
"D4","MBR540","SOD-123",39.700200,9.093200,0.000000,top
"IC1","LC709203F/MH","WLCSP9",34.290000,16.510000,0.000000,top
"IC2","BME680","BME680",29.591000,17.653000,0.000000,top
"Q1","BSS138","SOT23-R",22.542500,14.351000,-90.000000,top
"Q3","DMG3415U","SOT23-R",40.335200,11.633200,180.000000,top
"R1","5.1K","0603-NO",38.608000,4.508500,180.000000,top
"R2","5.1K","0603-NO",45.135800,5.410200,180.000000,top
"R3","10K","RESPACK_4X0603",29.591000,13.843000,-90.000000,top
"R4","5.1K","0603-NO",43.103800,17.145000,90.000000,top
"R5","5.1K","0603-NO",47.371000,9.880600,-90.000000,top
"R7","100K","0603-NO",35.052000,11.163300,0.000000,top
"R8","5.1K","0603-NO",47.371000,13.017500,90.000000,top
"R10","5.1K","0603-NO",45.466000,17.526000,0.000000,top
"R11","22","0603-NO",24.955500,13.398500,90.000000,top
"R12","100K","0603-NO",42.722800,11.734800,-90.000000,top
"R17","1Meg","0603-NO",21.907500,18.224500,0.000000,top
"TP1","","TESTPOINT_ROUND_1.5MM_NO",35.052000,3.670300,180.000000,top
"U$7","","PCBFEAT-REV-040",45.212000,11.493500,0.000000,top
"U$54","","ADAFRUIT_3.5MM",27.940000,3.810000,0.000000,top
"U$55","FIDUCIAL_1MM","FIDUCIAL_1MM",49.784000,5.334000,0.000000,top
"U$56","FIDUCIAL_1MM","FIDUCIAL_1MM",4.572000,22.098000,0.000000,top
"U1","ESP32-S2-MODULE_MINI","QFN60_ESP32-S2-MINI-1_EXP",10.160000,11.430000,90.000000,top
"U2","AP2112-3.3","SOT23-5",35.001200,8.382000,180.000000,top
"U3","MCP73831T-2ACI/OT","SOT23-5",40.005000,17.322800,-90.000000,top
"U4","BME280","BME280",29.591000,17.653000,0.000000,top
"U5","AP2112-3.3","SOT23-5",34.417000,13.589000,90.000000,top
"UNK_HOLE_0","","dummyfp0",2.540000,1.841500,0.000000,top
"UNK_HOLE_1","","dummyfp1",2.540000,20.955000,0.000000,top
