Ref,Val,Package,PosX,PosY,Rot,Side
"DISP1","DISP_LCD_GENERIC_SPI_1.14IN_240X135_WRAPUNDER","TFT_1.14IN_240X135_WRAPUNDER",42.291000,11.303000,-90.000000,bottom
"PLABEL33","","PLABEL33",4.191000,17.843500,90.000000,bottom
"PLABEL34","","PLABEL34",4.254500,11.430000,90.000000,bottom
"PLABEL35","","PLABEL35",4.064000,5.397500,90.000000,bottom
"PLABEL36","","PLABEL36",45.021500,6.413500,90.000000,bottom
"PLABEL37","","PLABEL37",48.260000,11.430000,90.000000,bottom
"SW1","KMR2","BTN_RKB2_4.6X2.8",7.620000,4.445000,180.000000,bottom
"SW3","KMR2","BTN_RKB2_4.6X2.8",7.620000,18.415000,-0.000000,bottom
"SW4","KMR2","BTN_RKB2_4.6X2.8",44.450000,11.430000,-90.000000,bottom
"SW5","KMR2","BTN_RKB2_4.6X2.8",7.620000,11.430000,180.000000,bottom
"TP1","","TESTPOINT_ROUND_1.5MM_NO",1.905000,11.430000,180.000000,bottom
"C1","10uF","0805-NO",15.240000,13.131800,0.000000,top
"C2","10uF","0805-NO",18.021300,12.255500,90.000000,top
"C3","10uF","0805-NO",19.939000,12.242800,-90.000000,top
"C4","1uF","0603-NO",14.173200,5.283200,90.000000,top
"C5","1uF","0603-NO",25.781000,4.318000,180.000000,top
"C6","10uF","0805-NO",12.816200,9.774000,-90.000000,top
"C7","10uF","0805-NO",29.083000,17.716500,-90.000000,top
"C8","10uF","0805-NO",17.210800,5.451800,-90.000000,top
"C9","10uF","0805-NO",27.241500,17.716500,-90.000000,top
"C10","1uF","0603-NO",44.577000,19.939000,0.000000,top
"C11","1uF","0603-NO",25.781000,5.969000,0.000000,top
"C12","10uF","0805-NO",23.304500,5.461000,-90.000000,top
"CHG0","ORANGE","CHIPLED_0603_NOOUTLINE",1.778000,5.461000,-90.000000,top
"CONN1","STEMMA_I2C_QTRA","JST_SH4_RA",23.622000,11.430000,-90.000000,top
"D3","RED","CHIPLED_0603_NOOUTLINE",1.651000,17.526000,90.000000,top
"D4","MBR540","SOD-123",10.718800,12.369800,180.000000,top
"JP1","","1X16_ROUND_MIN",25.400000,1.270000,180.000000,top
"JP3","","1X12_ROUND_MIN",30.480000,21.590000,0.000000,top
"LED1","WS2812B_SK6805_1515","SK6805_1515",29.083000,7.683500,90.000000,top
"PLABEL0","","PLABEL0",21.590000,20.066000,0.000000,top
"PLABEL1","","PLABEL1",6.350000,2.921000,0.000000,top
"PLABEL2","","PLABEL2",11.557000,2.794000,0.000000,top
"PLABEL3","","PLABEL3",9.017000,2.794000,0.000000,top
"PLABEL4","","PLABEL4",19.177000,2.794000,0.000000,top
"PLABEL5","","PLABEL5",16.764000,2.794000,0.000000,top
"PLABEL6","","PLABEL6",24.130000,20.066000,0.000000,top
"PLABEL7","","PLABEL7",31.750000,2.794000,0.000000,top
"PLABEL8","","PLABEL8",34.290000,2.794000,0.000000,top
"PLABEL9","","PLABEL9",36.830000,2.794000,0.000000,top
"PLABEL10","","PLABEL10",39.370000,2.794000,0.000000,top
"PLABEL11","","PLABEL11",41.783000,2.794000,0.000000,top
"PLABEL12","","PLABEL12",16.510000,20.066000,0.000000,top
"PLABEL13","","PLABEL13",14.097000,2.794000,0.000000,top
"PLABEL14","","PLABEL14",5.334000,18.415000,0.000000,top
"PLABEL15","","PLABEL15",19.050000,20.066000,0.000000,top
"PLABEL16","","PLABEL16",44.513500,2.794000,0.000000,top
"PLABEL17","","PLABEL17",21.691600,2.743200,0.000000,top
"PLABEL18","","PLABEL18",29.210000,2.794000,0.000000,top
"PLABEL19","","PLABEL19",45.910500,21.590000,90.000000,top
"PLABEL20","","PLABEL20",24.231600,2.768600,0.000000,top
"PLABEL21","","PLABEL21",26.797000,2.794000,0.000000,top
"PLABEL22","","PLABEL22",10.668000,7.620000,0.000000,top
"PLABEL23","","PLABEL23",26.670000,20.066000,0.000000,top
"PLABEL24","","PLABEL24",29.210000,20.066000,0.000000,top
"PLABEL25","","PLABEL25",31.750000,20.066000,0.000000,top
"PLABEL26","","PLABEL26",34.290000,20.066000,0.000000,top
"PLABEL27","","PLABEL27",36.830000,20.066000,0.000000,top
"PLABEL28","","PLABEL28",39.370000,20.066000,0.000000,top
"PLABEL29","","PLABEL29",41.910000,20.066000,0.000000,top
"PLABEL30","","PLABEL30",29.654500,10.223500,90.000000,top
"PLABEL31","","PLABEL31",25.082500,7.683500,0.000000,top
"Q1","BSS138","SC70",28.321000,14.541500,90.000000,top
"Q3","DMG3415U","SOT23-R",10.210800,9.956800,0.000000,top
"R1","10K","0603-NO",15.621000,5.334000,90.000000,top
"R2","5.1K","0603-NO",6.019800,4.241800,0.000000,top
"R4","5.1K","0603-NO",15.671800,15.875000,90.000000,top
"R5","5.1K","0603-NO",7.620000,8.407400,90.000000,top
"R7","100K","0603-NO",18.669000,8.877300,0.000000,top
"R8","5.1K","0603-NO",5.080000,17.272000,0.000000,top
"R9","22ohm","0603-NO",25.336500,15.303500,180.000000,top
"R10","5.1K","0603-NO",5.715000,20.383500,-90.000000,top
"R12","100K","0603-NO",5.410200,5.791200,180.000000,top
"R13","10K Pack","RESPACK_4X0603",27.241500,11.239500,-90.000000,top
"R17","1Meg","0603-NO",28.892500,4.318000,180.000000,top
"SW2","KMR2","BTN_RKB2_4.6X2.8",10.795000,5.334000,0.000000,top
"U$31","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",2.540000,20.320000,-90.000000,top
"U$32","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",2.540000,2.540000,-90.000000,top
"U$34","FIDUCIAL_1MM","FIDUCIAL_1MM",11.430000,21.082000,-90.000000,top
"U$35","FIDUCIAL_1MM","FIDUCIAL_1MM",46.376800,0.997600,-90.000000,top
"U1","ESP32-S3-MINI-1","ESP32-S2-MINI-1",38.354000,11.430000,-90.000000,top
"U2","RT9080/AP2112-3.3","SOT23-5",15.417800,10.160000,0.000000,top
"U3","MCP73831T-2ACI/OT","SOT23-5",18.110200,16.256000,0.000000,top
"U4","BME280","BME280",24.892000,17.335500,180.000000,top
"U5","RT9080/AP2112-3.3","SOT23-5",20.256500,5.524500,-90.000000,top
"UNK_HOLE_0","","dummyfp0",48.260000,1.841500,0.000000,top
"UNK_HOLE_1","","dummyfp1",48.260000,20.955000,0.000000,top
"X1","JSTPH","JSTPH2_BATT",10.795000,17.653000,0.000000,top
"X2","MAX17048/T","TDFN8_2X2MM",21.463000,17.399000,90.000000,top
"X3","USB C","USB_C_CUSB31-CFM2AX-01-X",3.937000,11.430000,-90.000000,top
