Ref,Val,Package,PosX,PosY,Rot,Side
"D+0","TPB1,27","B1,27",2.540000,12.700000,180.000000,bottom
"D-0","TPB1,27","B1,27",2.540000,10.160000,180.000000,bottom
"TP1","","TESTPOINT_ROUND_1.5MM",32.258000,9.271000,180.000000,bottom
"TP2","","TESTPOINT_ROUND_1.5MM",32.258000,12.001500,180.000000,bottom
"TP3","","TESTPOINT_ROUND_1.5MM",25.146000,14.986000,180.000000,bottom
"U$5","FIDUCIAL_1MM","FIDUCIAL_1MM",5.334000,18.923000,180.000000,bottom
"U$13","","PCBFEAT-REV-040",5.080000,11.747500,180.000000,bottom
"U$37","FIDUCIAL_1MM","FIDUCIAL_1MM",46.482000,1.079500,180.000000,bottom
"U$40","","FEATHER_STM32F405_BOT",50.800000,0.000000,180.000000,bottom
"X3","","2X05_1.27MM_SMT",11.430000,8.255000,90.000000,bottom
"X5","","MICROSD",34.925000,18.415000,-90.000000,bottom
"C1","0.1uF","0603-NO",9.334500,4.191000,0.000000,top
"C2","22pF","RESPACK_4X0603",22.098000,12.827000,90.000000,top
"C3","10µF","0805-NO",16.192500,16.446500,-90.000000,top
"C4","1uF","0603-NO",45.085000,18.161000,0.000000,top
"C5","10uF","0805-NO",24.447500,17.729200,90.000000,top
"C6","10µF","0805-NO",12.895500,9.247500,0.000000,top
"C7","1uF","0603-NO",26.179000,17.526200,90.000000,top
"C8","10µF","0805-NO",15.363500,13.858000,0.000000,top
"C9","10µF","0805-NO",39.878000,5.778500,0.000000,top
"C10","1uF","0603-NO",23.677796,5.643793,90.000000,top
"C11","1uF","0603-NO",14.338300,6.413500,-90.000000,top
"C12","10µF","0805-NO",40.894000,15.811500,90.000000,top
"C13","10µF","0805-NO",21.209000,6.731000,180.000000,top
"C14","1uF","0603-NO",13.449300,4.154093,0.000000,top
"C15","0.1uF","0603-NO",26.225500,7.429500,-90.000000,top
"C16","1uF","0603-NO",43.116500,6.667500,0.000000,top
"C17","1uF","0603-NO",25.971500,4.572000,180.000000,top
"CHG0","ORANGE","CHIPLED_0805_NOOUTLINE",2.413000,5.588000,-90.000000,top
"CONN1","STEMMA_I2C_QT","JST_SH4",48.006000,8.382000,90.000000,top
"D4","MBR054","SOD-123",11.366500,12.192000,180.000000,top
"FB2","ferrite","0805-NO",20.955000,4.889500,0.000000,top
"JP1","","1X16_ROUND",25.400000,1.270000,180.000000,top
"JP3","","1X12_ROUND",30.480000,21.590000,0.000000,top
"L0","RED","CHIPLED_0805_NOOUTLINE",2.645000,17.359000,90.000000,top
"LED1","WS2812B3535","LED3535",16.929100,5.727700,-90.000000,top
"Q3","DMG3405","SOT23-R",9.652000,9.715500,0.000000,top
"R1","10K","RESPACK_4X0603_NO",43.053000,9.779000,90.000000,top
"R2","1K","0603-NO",6.019800,4.191000,0.000000,top
"R3","10K","0603-NO",19.431000,10.287000,90.000000,top
"R4","100K","0603-NO",44.069000,5.016500,180.000000,top
"R5","5.1K","0603-NO",6.223000,5.715000,180.000000,top
"R6","5.1K","0603-NO",8.001000,12.192000,90.000000,top
"R7","2.2K","0603-NO",5.651500,19.304000,-90.000000,top
"R8","5.1K","0603-NO",18.605500,17.780000,0.000000,top
"R9","100K","RESPACK_4X0603_NO",22.034500,17.335500,90.000000,top
"R10","100K","0603-NO",39.878000,4.254500,180.000000,top
"SW1","KMR2","BTN_KMR2_4.6X2.8",10.541000,6.540500,180.000000,top
"U$3","STM32F405R","TQFP64",33.401000,11.176000,0.000000,top
"U$24","","FEATHER_STM32F405_TOP",0.000000,0.000000,0.000000,top
"U$31","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",2.540000,20.320000,-90.000000,top
"U$32","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",2.540000,2.540000,-90.000000,top
"U$34","FIDUCIAL_1MM","FIDUCIAL_1MM",10.477500,20.891500,-90.000000,top
"U$35","FIDUCIAL_1MM","FIDUCIAL_1MM",46.402200,0.769000,-90.000000,top
"U1","25Q16","SOIC8_150MIL",46.418500,14.846300,90.000000,top
"U2","AP2112-3.3","SOT23-5",17.018000,10.668000,0.000000,top
"U3","MCP73831T-2ACI/OT","SOT23-5",18.859500,15.113000,0.000000,top
"UNK_HOLE_0","","dummyfp0",48.260000,20.320000,0.000000,top
"UNK_HOLE_1","","dummyfp1",48.260000,2.540000,0.000000,top
"X1","JSTPH","JSTPH2",10.922000,19.304000,0.000000,top
"X2","32.768","XTAL3215",24.688800,14.071600,90.000000,top
"X6","","USB_C_CUSB31-CFM2AX-01-X",2.667000,11.557000,-90.000000,top
"Y1","12mhz","CRYSTAL_2.5X2",23.368000,9.525000,180.000000,top
