Designator,Mid X,Mid Y,Rotation,Layer
BATT0,0.0000,-18.5420,180.00,Top
BOOT0,0.0000,-10.1600,180.00,Top
C4,12.1920,-7.8740,90.00,Top
C5,9.9060,-11.3030,0.00,Top
C6,10.4140,10.0330,-90.00,Top
C7,8.1280,-4.3180,90.00,Top
C8,-7.2390,-12.5730,180.00,Top
C9,-2.7940,13.5890,90.00,Top
CN1,0.0000,17.6530,180.00,Top
D1,10.5410,6.3500,180.00,Top
D2,5.3340,-12.4460,180.00,Top
IC1,0.0000,3.9370,-90.00,Top
IC2,9.0170,-8.1280,-90.00,Top
JP1,11.9380,-1.9050,90.00,Top
L0,6.9850,12.3190,180.00,Top
L1,5.2070,12.9540,-90.00,Top
LED1,0.0000,-5.7150,0.00,Top
ON/OFF0,-11.8110,0.0000,90.00,Top
PWR0,-6.9850,12.4460,180.00,Top
R1,2.7940,13.7160,-90.00,Top
R2,0.8890,13.5890,-90.00,Top
R3,-1.0160,13.5890,-90.00,Top
R4,-4.6990,13.5890,90.00,Top
R5,7.7470,9.2710,0.00,Top
R6,-12.7000,7.4930,90.00,Top
R7,-9.9060,-5.5880,-90.00,Top
R8,8.2550,3.6830,-90.00,Top
R9,11.0490,3.4290,0.00,Top
R10,4.4450,-4.9530,90.00,Top
RXLED0,-10.6680,7.4930,0.00,Top
T1,5.3340,-9.7790,180.00,Top
TXLED0,-8.8900,7.4930,0.00,Top
U$1,-8.6360,-10.7950,0.00,Top
U$2,-10.1600,-11.4300,0.00,Top
U$3,-10.2870,11.6840,0.00,Top
U$4,11.6840,1.9050,180.00,Bottom
U$5,-0.6350,-13.3350,180.00,Bottom
U$6,12.9540,8.6360,0.00,Top
U$7,6.4770,-19.9390,180.00,Bottom
U$8,-1.6510,-19.8120,180.00,Bottom
Y1,-6.0960,-2.9210,90.00,Top
