Designator,Comment,Footprint,OOMP ID,Reason
C1,10µF,Adafruit-FONA-800-GSM-Breakout-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C2,33pF,Adafruit-FONA-800-GSM-Breakout-import-fps:0805-NO,,No verified LCSC part number
C3,10pF,Adafruit-FONA-800-GSM-Breakout-import-fps:0805-NO,,No verified LCSC part number
C4,33pF,Adafruit-FONA-800-GSM-Breakout-import-fps:0805-NO,,No verified LCSC part number
C5,10pF,Adafruit-FONA-800-GSM-Breakout-import-fps:0805-NO,,No verified LCSC part number
C6,33pF,Adafruit-FONA-800-GSM-Breakout-import-fps:0805-NO,,No verified LCSC part number
C7,100uF,Adafruit-FONA-800-GSM-Breakout-import-fps:C1210,,No verified LCSC part number
C9,10uF,Adafruit-FONA-800-GSM-Breakout-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C10,10pF,Adafruit-FONA-800-GSM-Breakout-import-fps:0805-NO,,No verified LCSC part number
C11,10uF,Adafruit-FONA-800-GSM-Breakout-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C15,10pF,Adafruit-FONA-800-GSM-Breakout-import-fps:RESPACK_4X0603,electronic_capacitor_0603_10_pico_farad,No verified LCSC part number
C17,10pF,Adafruit-FONA-800-GSM-Breakout-import-fps:RESPACK_4X0603,electronic_capacitor_0603_10_pico_farad,No verified LCSC part number
CHRG0,ORANGE,Adafruit-FONA-800-GSM-Breakout-import-fps:CHIPLED_0805_NOOUTLINE,electronic_led_0805,No verified LCSC part number
CN2,JSTPH,Adafruit-FONA-800-GSM-Breakout-import-fps:JSTPH2,,No verified LCSC part number
D1,MMSZ5231BT1G,Adafruit-FONA-800-GSM-Breakout-import-fps:SOD-123,,No verified LCSC part number
D2,SMF05C,Adafruit-FONA-800-GSM-Breakout-import-fps:SOT363,,No verified LCSC part number
D3,1N4148,Adafruit-FONA-800-GSM-Breakout-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
D4,1N4148,Adafruit-FONA-800-GSM-Breakout-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
D5,1N4148,Adafruit-FONA-800-GSM-Breakout-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
D6,1N4148,Adafruit-FONA-800-GSM-Breakout-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
DONE0,GREEN,Adafruit-FONA-800-GSM-Breakout-import-fps:CHIPLED_0805_NOOUTLINE,electronic_led_0805_green,No verified LCSC part number
IC1,74VHCT125PW,Adafruit-FONA-800-GSM-Breakout-import-fps:TSSOP14,,No verified LCSC part number
NETSTAT0,BLUE,Adafruit-FONA-800-GSM-Breakout-import-fps:CHIPLED_0805_NOOUTLINE,electronic_led_0805_blue,No verified LCSC part number
PWRSTAT0,GREEN,Adafruit-FONA-800-GSM-Breakout-import-fps:CHIPLED_0805_NOOUTLINE,electronic_led_0805_green,No verified LCSC part number
Q1,DTC143ZUAT106,Adafruit-FONA-800-GSM-Breakout-import-fps:SC59-BEC,,No verified LCSC part number
SW1,KMR2,Adafruit-FONA-800-GSM-Breakout-import-fps:BTN_KMR2_4.6X2.8,,No verified LCSC part number
TP1,TPTP11R,Adafruit-FONA-800-GSM-Breakout-import-fps:TP11R,,No verified LCSC part number
U1,SIM800H/L,Adafruit-FONA-800-GSM-Breakout-import-fps:SIM800L,,No verified LCSC part number
U2,MCP73831T-2ACI/OT,Adafruit-FONA-800-GSM-Breakout-import-fps:SOT23-5,,No verified LCSC part number
U$10,,Adafruit-FONA-800-GSM-Breakout-import-fps:ADAFRUIT_5MM,,No verified LCSC part number
U$26,,Adafruit-FONA-800-GSM-Breakout-import-fps:FONA_LOGO,,No verified LCSC part number
U$36,,Adafruit-FONA-800-GSM-Breakout-import-fps:ADAFRUIT_5MM,,No verified LCSC part number
X1,,Adafruit-FONA-800-GSM-Breakout-import-fps:SMA_EDGELAUNCH_UFL,,No verified LCSC part number
X2,MicroB,Adafruit-FONA-800-GSM-Breakout-import-fps:4UCONN_20329,,No verified LCSC part number
X4,,Adafruit-FONA-800-GSM-Breakout-import-fps:4UCONN_18510,,No verified LCSC part number
X6,SIM_LOCKAMPHENOL,Adafruit-FONA-800-GSM-Breakout-import-fps:C707_10M006_512_2,,No verified LCSC part number
