Comment,Designator,Footprint,LCSC Part #
,JP2,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:1X06_ROUND,C37208
,U$5,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:ADAFRUIT_3.5MM,
,U$13,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:PCBFEAT-REV-040,
,PLABEL0,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:PLABEL0,
,PLABEL1,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:PLABEL1,
,PLABEL10,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:PLABEL10,
,PLABEL2,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:PLABEL2,
,PLABEL3,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:PLABEL3,
,PLABEL4,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:PLABEL4,
,PLABEL5,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:PLABEL5,
,PLABEL7,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:PLABEL7,
,PLABEL8,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:PLABEL8,
,PLABEL9,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:PLABEL9,
0.1uF,C2,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:0603-NO,C14663
1uF,C4,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:0603-NO,C5673
47K,"R2,R3",Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:0603-NO,C2907042
68,R1,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:0603-NO,C27592
ICS-43434,IC1,Adafruit I2S MEMS Microphone Breakout - ICS-43434-import-fps:SPH0645LM4H,
