Ref,Val,Package,PosX,PosY,Rot,Side
"A0","","SOLDERJUMPER_REFLOW_NOPASTE",20.955000,5.715000,180.000000,bottom
"A1","","SOLDERJUMPER_REFLOW_NOPASTE",20.955000,7.874000,180.000000,bottom
"U$30","","PCBFEAT-REV-040",6.223000,18.415000,180.000000,bottom
"U$31","","STEMMAQT",22.479000,6.096000,90.000000,bottom
"U$32","","STEMMAQT",3.048000,14.605000,-90.000000,bottom
"C1","0.1µF","0603-NO",10.160000,7.112000,-90.000000,top
"C2","10uF","0805-NO",8.382000,7.112000,-90.000000,top
"CONN3","STEMMA_I2C_QT","JST_SH4",22.860000,10.160000,90.000000,top
"CONN4","STEMMA_I2C_QT","JST_SH4",2.540000,10.160000,-90.000000,top
"D1","GREEN","CHIPLED_0603_NOOUTLINE",3.556000,14.351000,90.000000,top
"FID3","FIDUCIAL_1MM","FIDUCIAL_1MM",1.016000,5.461000,0.000000,top
"FID4","FIDUCIAL_1MM","FIDUCIAL_1MM",24.257000,14.986000,0.000000,top
"J1","3.5mm","TERMBLOCK_1X2-3.5MM",12.700000,16.510000,180.000000,top
"JP1","","1X06_ROUND_70",12.700000,2.540000,0.000000,top
"R5","0.1/1% (PT2512FK-070R1L)","2512",12.700000,11.176000,0.000000,top
"R6","10K","RESPACK_4X0603",16.510000,6.985000,-90.000000,top
"R7","10K","0603-NO",5.588000,13.716000,90.000000,top
"U$20","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",2.540000,17.780000,0.000000,top
"U$21","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",22.860000,17.780000,0.000000,top
"U$25","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",2.540000,2.540000,0.000000,top
"U$27","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",22.860000,2.540000,0.000000,top
"U$29","","ADAFRUIT_3.5MM",7.239000,6.985000,180.000000,top
"U1","INA219BIDCNT","SOT23-8",12.700000,6.985000,180.000000,top
