Designator,Mid X,Mid Y,Rotation,Layer
A0,11.5570,6.6040,-90.00,Top
C1,15.3670,6.4770,90.00,Top
C2,2.7940,6.0960,0.00,Top
CONN3,35.3060,11.4300,90.00,Top
CONN4,3.0480,11.4300,-90.00,Top
D1,1.6510,16.8910,90.00,Top
IC1,19.0500,7.7470,0.00,Top
J1,27.9400,17.1450,180.00,Top
J2,19.0500,17.1450,180.00,Top
J3,10.1600,17.1450,180.00,Top
JP3,19.0500,2.5400,0.00,Top
PLABEL0,10.0330,21.7805,0.00,Top
PLABEL1,11.5140,4.1840,0.00,Top
PLABEL2,6.2230,9.1440,0.00,Top
PLABEL3,21.7170,4.9530,0.00,Top
PLABEL4,1.6510,4.1910,0.00,Top
PLABEL5,4.0640,1.0160,0.00,Top
PLABEL6,6.3500,4.1910,0.00,Top
PLABEL7,9.0170,1.0160,0.00,Top
PLABEL8,12.8270,0.8890,0.00,Top
PLABEL9,29.2100,1.0160,0.00,Top
PLABEL10,0.8890,15.4940,0.00,Top
PLABEL11,5.8420,14.9860,90.00,Top
PLABEL12,17.9070,0.8890,0.00,Top
PLABEL13,22.9870,0.8890,0.00,Top
PLABEL14,26.6700,4.0640,0.00,Top
PLABEL15,31.7500,4.0640,0.00,Top
PLABEL16,34.2900,1.0160,0.00,Top
PLABEL17,36.8300,4.0640,0.00,Top
PLABEL18,16.5940,4.1840,0.00,Top
PLABEL19,21.6740,4.1840,0.00,Top
PLABEL20,14.0540,4.1840,0.00,Top
PLABEL21,19.1340,4.1840,0.00,Top
PLABEL22,23.9600,4.1840,0.00,Top
PLABEL23,19.1770,21.7805,0.00,Top
PLABEL24,27.8130,21.7805,0.00,Top
PLABEL25,19.8120,20.3200,180.00,Bottom
PLABEL26,32.8930,6.9850,180.00,Bottom
PLABEL27,18.2880,0.8890,180.00,Bottom
PLABEL28,19.0500,13.3350,180.00,Bottom
R1,18.9230,12.0650,180.00,Top
R2,10.2870,12.0650,180.00,Top
R3,30.4800,6.6040,180.00,Top
R5,27.9400,12.0650,180.00,Top
R6,8.2550,7.4930,0.00,Top
U$7,35.4330,14.7320,90.00,Top
U$30,4.1910,4.9530,180.00,Bottom
U$31,35.4330,6.0960,90.00,Bottom
U$32,3.0480,15.1130,-90.00,Bottom
