Ref,Val,Package,PosX,PosY,Rot,Side
"SJ1","","SOLDERJUMPER_ARROW_NOPASTE",16.129000,10.160000,180.000000,bottom
"SJ2","","SOLDERJUMPER_ARROW_NOPASTE",34.290000,10.160000,-0.000000,bottom
"U$13","","FEATHERLOGO_MED",4.953000,4.572000,90.000000,bottom
"U$31","","STEMMAQT",47.752000,7.493000,90.000000,bottom
"C1","0.1uF","0603-NO",27.686000,7.366000,-90.000000,top
"C2","10uF","0805-NO",11.049000,7.239000,90.000000,top
"C4","0.1uF","0603-NO",23.660100,14.770100,90.000000,top
"C5","1uF","0603-NO",22.034500,14.732000,90.000000,top
"CONN4","STEMMA_I2C_QT","JST_SH4",48.260000,11.430000,90.000000,top
"FID1","FIDUCIAL_1MM","FIDUCIAL_1MM",9.779000,10.287000,0.000000,top
"FID2","FIDUCIAL_1MM","FIDUCIAL_1MM",49.911000,18.034000,0.000000,top
"IC1","LIS3MDL","LGA12_2X2MM",22.860000,11.430000,180.000000,top
"JP1","","1X04_ROUND",31.750000,11.430000,-90.000000,top
"JP2","","1X12_ROUND",30.480000,19.050000,0.000000,top
"JP3","","1X16_ROUND",25.400000,3.810000,180.000000,top
"JP4","","1X04_ROUND",36.830000,11.430000,-90.000000,top
"MAG_HDR0","","1X04_ROUND",19.050000,11.430000,-90.000000,top
"MS1","FEATHERWING","FEATHERWING",0.000000,0.000000,0.000000,top
"R1","10K","0603-NO",43.180000,16.256000,-90.000000,top
"R2","10K","0603-NO",13.716000,8.128000,180.000000,top
"R3","10K","0603-NO",13.716000,10.033000,0.000000,top
"R4","10K","0603-NO",22.352000,7.620000,0.000000,top
"R5","10K","0603-NO",29.464000,7.366000,90.000000,top
"R7","10K","0603-NO",46.355000,16.256000,-90.000000,top
"SW1","KMR2","BTN_KMR2_4.6X2.8",10.795000,20.320000,0.000000,top
"U$35","LSM6DSOX","LGA-14L",27.940000,11.430000,0.000000,top
"U$50","","ADAFRUIT_3.5MM",13.335000,12.573000,90.000000,top
"U$51","","PCBFEAT-REV-040",49.403000,5.334000,0.000000,top
