Comment,Designator,Footprint,LCSC Part #
,JP1,Itsy Bitsy 32u4 3V-import-fps:1X05_ROUND,C42431835
,"JP2,JP4",Itsy Bitsy 32u4 3V-import-fps:1X14_ROUND70,C2905490
,U$7,Itsy Bitsy 32u4 3V-import-fps:ADAFRUIT_3.5MM,
,U$4,Itsy Bitsy 32u4 3V-import-fps:ADAFRUIT_5MM,
,U$2,Itsy Bitsy 32u4 3V-import-fps:PCBFEAT-REV-040,
100k,R9,Itsy Bitsy 32u4 3V-import-fps:0603-NO,C25803
10uF,C9,Itsy Bitsy 32u4 3V-import-fps:0805-NO,
10µF,"C6,C8",Itsy Bitsy 32u4 3V-import-fps:0805-NO,
1uF,"C7,C14",Itsy Bitsy 32u4 3V-import-fps:0603-NO,C5673
2.2K,R7,Itsy Bitsy 32u4 3V-import-fps:0603-NO,C4190
22,"R4,R5",Itsy Bitsy 32u4 3V-import-fps:0603-NO,C23345
74HCT1G125DBV,IC2,Itsy Bitsy 32u4 3V-import-fps:SOT23-5,
8MHz,Y1,Itsy Bitsy 32u4 3V-import-fps:RESONATOR-SMD,
AP2112K,U2,Itsy Bitsy 32u4 3V-import-fps:SOT23-5,
ATMEGA32U4-MU,IC1,Itsy Bitsy 32u4 3V-import-fps:TQFN44_7MM,
"FIDUCIAL""""","U$34,U$35",Itsy Bitsy 32u4 3V-import-fps:FIDUCIAL_1MM,
MBR120,"D1,D4",Itsy Bitsy 32u4 3V-import-fps:SOD-123,
microUSB,X3,Itsy Bitsy 32u4 3V-import-fps:4UCONN_20329_V2,
RED,L0,Itsy Bitsy 32u4 3V-import-fps:CHIPLED_0805_NOOUTLINE,
SPST_TACT-KMR2,SW1,Itsy Bitsy 32u4 3V-import-fps:KMR2,
