Designator,Comment,Footprint,OOMP ID,Reason
A0,,Adafruit 0.54 Alphanumeric v0.1-import-fps:SOLDERJUMPER_REFLOW_NOPASTE,,No verified LCSC part number
A1,,Adafruit 0.54 Alphanumeric v0.1-import-fps:SOLDERJUMPER_REFLOW_NOPASTE,,No verified LCSC part number
A2,,Adafruit 0.54 Alphanumeric v0.1-import-fps:SOLDERJUMPER_REFLOW_NOPASTE,,No verified LCSC part number
C1,10uF,Adafruit 0.54 Alphanumeric v0.1-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
D1,1N4148,Adafruit 0.54 Alphanumeric v0.1-import-fps:SOD-323F,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
LED1,,Adafruit 0.54 Alphanumeric v0.1-import-fps:SEGMENT_STARTBUST_DUAL_KWA-541CBB,,No verified LCSC part number
LED2,,Adafruit 0.54 Alphanumeric v0.1-import-fps:SEGMENT_STARTBUST_DUAL_KWA-541CBB,,No verified LCSC part number
U2,,Adafruit 0.54 Alphanumeric v0.1-import-fps:SOP28_300MIL,,No verified LCSC part number
U$1,FIDUCIAL,Adafruit 0.54 Alphanumeric v0.1-import-fps:FIDUCIAL_1MM,,No verified LCSC part number
U$2,FIDUCIAL,Adafruit 0.54 Alphanumeric v0.1-import-fps:FIDUCIAL_1MM,,No verified LCSC part number
U$3,,Adafruit 0.54 Alphanumeric v0.1-import-fps:ADAFRUIT_9MM,,No verified LCSC part number
