Comment,Designator,Footprint,LCSC Part #
,E$2,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:ADAFRUIT_3.5MM,
,U$3,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:ADAFRUIT_5MM,
,U$4,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PCBFEAT-REV-040,
,PLABEL0,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PLABEL0,
,PLABEL1,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PLABEL1,
,PLABEL10,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PLABEL10,
,PLABEL11,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PLABEL11,
,PLABEL12,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PLABEL12,
,PLABEL13,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PLABEL13,
,PLABEL14,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PLABEL14,
,PLABEL2,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PLABEL2,
,PLABEL3,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PLABEL3,
,PLABEL4,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PLABEL4,
,PLABEL5,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PLABEL5,
,PLABEL6,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PLABEL6,
,PLABEL7,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PLABEL7,
,PLABEL8,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PLABEL8,
,PLABEL9,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:PLABEL9,
,LED2,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:SEGMENT_BICOL_BL-M12A883XX,
,"A0,A1,A2",Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:SOLDERJUMPER_REFLOW_NOPASTE,
10K,"R1,R2",Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:0603-NO,C98220
10uF,"C1,C2",Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:0805-NO,
1N4148,D1,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:SOD-323,
1uF,C3,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:0603-NO,C5673
1X4-CLEANBIG,CN1,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:1X04-CLEANBIG,
28-SOIC,U2,Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:SOP28_300MIL,
47K,"R3,R4,R5",Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:0603-NO,C2907042
FIDUCIAL,"U$1,U$2",Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:FIDUCIAL_1MM,
STEMMA_I2C_QT,"CONN1,CONN2",Adafruit Bicolor 8x8 HT16K33 STEMMA-import-fps:JST_SH4,C160404
