Designator,Comment,Footprint,OOMP ID,Reason
C6,10µF,Adafruit MacroPad 2040-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C7,10uF,Adafruit MacroPad 2040-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C8,10µF,Adafruit MacroPad 2040-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C9,10uF,Adafruit MacroPad 2040-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C14,10uF,Adafruit MacroPad 2040-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C19,12pF,Adafruit MacroPad 2040-import-fps:0603-NO,,No verified LCSC part number
C20,12pF,Adafruit MacroPad 2040-import-fps:0603-NO,,No verified LCSC part number
C22,10uF,Adafruit MacroPad 2040-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C23,10uF,Adafruit MacroPad 2040-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C24,10uF,Adafruit MacroPad 2040-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C25,10uF,Adafruit MacroPad 2040-import-fps:0805-NO,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
D3,1N4148,Adafruit MacroPad 2040-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
IC1,74HCT1G125DBV,Adafruit MacroPad 2040-import-fps:SOT23-5,,No verified LCSC part number
IC2,PAM8301,Adafruit MacroPad 2040-import-fps:SOT23-6,,No verified LCSC part number
IC3,RP2040_QFN56,Adafruit MacroPad 2040-import-fps:QFN56_7MM_REDUCEDEPAD,,No verified LCSC part number
L0,RED,Adafruit MacroPad 2040-import-fps:CHIPLED_0603_NOOUTLINE,electronic_led_0603_red,No verified LCSC part number
LED1,WS2812B_SK6812E,Adafruit MacroPad 2040-import-fps:NEO3535_REVERSE,,No verified LCSC part number
LED2,WS2812B_SK6812E,Adafruit MacroPad 2040-import-fps:NEO3535_REVERSE,,No verified LCSC part number
LED3,WS2812B_SK6812E,Adafruit MacroPad 2040-import-fps:NEO3535_REVERSE,,No verified LCSC part number
LED4,WS2812B_SK6812E,Adafruit MacroPad 2040-import-fps:NEO3535_REVERSE,,No verified LCSC part number
LED5,WS2812B_SK6812E,Adafruit MacroPad 2040-import-fps:NEO3535_REVERSE,,No verified LCSC part number
LED6,WS2812B_SK6812E,Adafruit MacroPad 2040-import-fps:NEO3535_REVERSE,,No verified LCSC part number
LED7,WS2812B_SK6812E,Adafruit MacroPad 2040-import-fps:NEO3535_REVERSE,,No verified LCSC part number
LED8,WS2812B_SK6812E,Adafruit MacroPad 2040-import-fps:NEO3535_REVERSE,,No verified LCSC part number
LED9,WS2812B_SK6812E,Adafruit MacroPad 2040-import-fps:NEO3535_REVERSE,,No verified LCSC part number
LED10,WS2812B_SK6812E,Adafruit MacroPad 2040-import-fps:NEO3535_REVERSE,,No verified LCSC part number
LED11,WS2812B_SK6812E,Adafruit MacroPad 2040-import-fps:NEO3535_REVERSE,,No verified LCSC part number
LED12,WS2812B_SK6812E,Adafruit MacroPad 2040-import-fps:NEO3535_REVERSE,,No verified LCSC part number
R9,DNP,Adafruit MacroPad 2040-import-fps:0603-NO,,No verified LCSC part number
SP2,7.5mm SPK,Adafruit MacroPad 2040-import-fps:BUZZER_SMT_7.5MM,,No verified LCSC part number
SW2,RA SW,Adafruit MacroPad 2040-import-fps:SPST_TACTILE_RA,,No verified LCSC part number
TP5,,Adafruit MacroPad 2040-import-fps:TESTPOINT_ROUND_1.5MM_NO,,No verified LCSC part number
TP6,,Adafruit MacroPad 2040-import-fps:TESTPOINT_ROUND_1.5MM_NO,,No verified LCSC part number
U1,GD25x16,Adafruit MacroPad 2040-import-fps:USON8_4X4,,No verified LCSC part number
U2,AP2112K-3.3,Adafruit MacroPad 2040-import-fps:SOT23-5,electronic_ic_sot_23_5_power_management_linear_voltage_regulator_diodes_ap2112k_3_3,No verified LCSC part number
U$1,SOCKET,Adafruit MacroPad 2040-import-fps:KAILH_SOCKET,,No verified LCSC part number
U$2,SOCKET,Adafruit MacroPad 2040-import-fps:KAILH_SOCKET,,No verified LCSC part number
U$3,SOCKET,Adafruit MacroPad 2040-import-fps:KAILH_SOCKET,,No verified LCSC part number
U$4,SOCKET,Adafruit MacroPad 2040-import-fps:KAILH_SOCKET,,No verified LCSC part number
U$5,SOCKET,Adafruit MacroPad 2040-import-fps:KAILH_SOCKET,,No verified LCSC part number
U$6,SOCKET,Adafruit MacroPad 2040-import-fps:KAILH_SOCKET,,No verified LCSC part number
U$12,SOCKET,Adafruit MacroPad 2040-import-fps:KAILH_SOCKET,,No verified LCSC part number
U$13,SOCKET,Adafruit MacroPad 2040-import-fps:KAILH_SOCKET,,No verified LCSC part number
U$34,FIDUCIAL_1MM,Adafruit MacroPad 2040-import-fps:FIDUCIAL_1MM,,No verified LCSC part number
U$35,FIDUCIAL_1MM,Adafruit MacroPad 2040-import-fps:FIDUCIAL_1MM,,No verified LCSC part number
U$40,SOCKET,Adafruit MacroPad 2040-import-fps:KAILH_SOCKET,,No verified LCSC part number
U$41,SOCKET,Adafruit MacroPad 2040-import-fps:KAILH_SOCKET,,No verified LCSC part number
U$42,SOCKET,Adafruit MacroPad 2040-import-fps:KAILH_SOCKET,,No verified LCSC part number
U$43,SOCKET,Adafruit MacroPad 2040-import-fps:KAILH_SOCKET,,No verified LCSC part number
U$78,,Adafruit MacroPad 2040-import-fps:MACROPAD_TOP,,No verified LCSC part number
U$79,,Adafruit MacroPad 2040-import-fps:MACROPAD_BOTTOM,,No verified LCSC part number
U$80,FIDUCIAL_1MM,Adafruit MacroPad 2040-import-fps:FIDUCIAL_1MM,,No verified LCSC part number
U$81,,Adafruit MacroPad 2040-import-fps:PCBFEAT-REV-040,,No verified LCSC part number
X1,TYPE C,Adafruit MacroPad 2040-import-fps:USB_C_CUSB31-CFM2AX-01-X,,No verified LCSC part number
X2,ZJY130-2864KSWLG22,Adafruit MacroPad 2040-import-fps:ZJY130-2864KSWLG22,,No verified LCSC part number
Y1,12MHZ,Adafruit MacroPad 2040-import-fps:CRYSTAL_2.5X2,,No verified LCSC part number
