Ref,Val,Package,PosX,PosY,Rot,Side
"SJ1","","SOLDERJUMPER_CLOSEDWIRE",38.735000,44.069000,180.000000,bottom
"TP1","","TESTPOINT_ROUND_1.5MM_NO",11.811000,50.800000,180.000000,bottom
"U$53","","ESP32S2_BOT",-0.254000,0.127000,90.000000,bottom
"AD0","20609","1X06_OVALWAVE",2.286000,11.557000,-90.000000,top
"C1","10uF","0805-NO",38.036500,56.070500,180.000000,top
"C2","0.1uF","0603-NO",44.450000,42.481500,-90.000000,top
"C3","10uF","0805-NO",19.050000,20.510500,90.000000,top
"C4","10µF","0805-NO",28.194000,21.590000,90.000000,top
"C5","0.1uF","0603-NO",29.972000,18.034000,-90.000000,top
"C6","1uF","0603-NO",37.211000,43.370500,-90.000000,top
"C7","10µF","0805-NO",9.779000,55.753000,180.000000,top
"C8","10µF","0805-NO",15.875000,11.239500,0.000000,top
"C10","10µF","0805-NO",9.271000,53.848000,180.000000,top
"C11","10µF","0805-NO",18.669000,17.716500,180.000000,top
"C12","0.1uF","0603-NO",18.923000,23.939500,90.000000,top
"C13","10µF","0805-NO",28.257500,18.034000,-90.000000,top
"C14","1uF","0603-NO",43.307000,58.610500,-90.000000,top
"C15","0.1uF","0603-NO",43.307000,55.499000,90.000000,top
"C17","10µF","0805-NO",8.509000,51.943000,180.000000,top
"C18","10µF","0805-NO",7.493000,50.038000,180.000000,top
"CHG1","ORANGE","CHIPLED_0603_NOOUTLINE",39.814500,8.356600,0.000000,top
"CONN1","STEMMA_I2C_QT","JST_SH4",50.546000,60.198000,90.000000,top
"D1","MBR540","SOD-123",5.969000,53.911500,90.000000,top
"D4","MBR540","SOD-123",21.336000,19.621500,90.000000,top
"F2","500mA","1206",41.338500,57.721500,-90.000000,top
"FD1","FIDUCIAL_1MM","FIDUCIAL_1MM",51.816000,65.405000,-90.000000,top
"FD2","FIDUCIAL_1MM","FIDUCIAL_1MM",4.422000,2.675000,-90.000000,top
"FD3","FIDUCIAL_1MM","FIDUCIAL_1MM",1.632000,66.755000,-90.000000,top
"IC2","LC709203F","WDFN8_3X4_0.65",21.463000,9.779000,0.000000,top
"ICSP0","3x2 M","2X03_ROUND_70MIL",27.686000,4.064000,180.000000,top
"IOH0","20611","1X10_OVALWAVE",50.546000,38.481000,-90.000000,top
"IOL0","20610","1X08_OVALWAVE",50.546000,14.097000,-90.000000,top
"JP2","UART","1X02_ROUND",33.274000,54.356000,90.000000,top
"L0","RED","CHIPLED_0603_NOOUTLINE",42.214800,8.394700,180.000000,top
"LED1","WS2812B3535","LED3535",41.656000,42.672000,-90.000000,top
"ON0","GREEN","CHIPLED_0603_NOOUTLINE",44.170600,8.343900,180.000000,top
"PC1","47uF/25V","PANASONIC_D",10.096500,29.591000,90.000000,top
"PC2","47uF+/6.3V+","PANASONIC_D",13.462000,15.557500,180.000000,top
"POWER0","20610","1X08_OVALWAVE",2.286000,31.877000,-90.000000,top
"Q1","DMG3415U-7","SOT23-R",19.812000,15.049500,90.000000,top
"Q2","DMG3415U-7","SOT23-R",24.574500,22.225000,-90.000000,top
"R1","10K","RESPACK_4X0603",45.593000,54.610000,90.000000,top
"R2","10K","0603-NO",40.005000,12.941300,90.000000,top
"R3","5.1K","0603-NO",35.623500,57.023000,90.000000,top
"R4","2.2K","0603-NO",10.985500,6.985000,-90.000000,top
"R6","10K","0603-NO",43.307000,16.243300,90.000000,top
"R8","5.1K","0603-NO",37.909500,58.356500,0.000000,top
"R9","10K","0603-NO",41.783000,14.211300,90.000000,top
"R12","100K","0603-NO",23.431500,15.621000,180.000000,top
"R14","100k","0603-NO",23.431500,13.335000,180.000000,top
"R15","100K","0603-NO",20.510500,23.939500,-90.000000,top
"R16","100K","0603-NO",22.098000,23.939500,-90.000000,top
"R17","1Meg","0603-NO",38.798500,43.370500,90.000000,top
"SW1","RA_TACT","SPST_TACTILE_RA",42.214800,4.508500,0.000000,top
"SW3","RA_TACT","SPST_TACTILE_RA",47.117000,66.929000,180.000000,top
"SW4","SPDT R/A","SPDT_SMT_SSSS811101",2.286000,47.244000,-90.000000,top
"U$15","","PCBFEAT-REV-040",29.083000,14.414500,-90.000000,top
"U$52","","ESP32S2_TOP",-0.254000,68.707000,-90.000000,top
"U1","NCP1117ST50T3G","SOT223-R",13.970000,22.542500,90.000000,top
"U2","MCP73831T-2ACI/OT","SOT23-5",12.065000,10.350500,90.000000,top
"U3","ESP32-S2-WROVER","MODULE_ESP32-S2-WROVER",22.415500,53.086000,0.000000,top
"U4","AP2112(3.3V)","SOT23-5",25.019000,18.097500,-90.000000,top
"UNK_HOLE_0","","dummyfp0",35.306000,2.667000,0.000000,top
"UNK_HOLE_1","","dummyfp1",7.366000,2.667000,0.000000,top
"UNK_HOLE_2","","dummyfp2",50.546000,53.467000,0.000000,top
"UNK_HOLE_3","","dummyfp3",2.286000,54.737000,0.000000,top
"X1","JSTPH","JSTPH2_BATT",15.875000,3.619500,180.000000,top
"X2","4u20317","2X05_1.27MM_BOX_POSTS",39.243000,49.784000,0.000000,top
"X4","USB C","USB_C_CUSB31-CFM2AX-01-X",37.846000,64.897000,180.000000,top
"X5","2.1mm","DCJACK_2MM_PTH",7.874000,72.009000,-90.000000,top
