Designator,Mid X,Mid Y,Rotation,Layer
AD0,57.1500,2.5400,0.00,Top
C2,35.6870,15.8750,0.00,Top
C3,35.6870,17.7800,0.00,Top
C5,13.2080,40.0050,90.00,Top
C6,39.5342,17.8826,180.00,Top
C7,14.8590,40.0050,-90.00,Top
C12,23.9776,9.5504,-90.00,Top
C13,26.5430,44.7040,0.00,Top
C18,13.8430,10.1600,0.00,Top
C19,13.8430,8.2550,0.00,Top
C20,13.8430,6.3500,0.00,Top
C21,28.7020,33.7820,-90.00,Top
C22,31.1150,31.4960,180.00,Top
C25,29.6545,27.6860,180.00,Top
C26,30.0990,22.9235,0.00,Top
C29,31.1150,33.0200,180.00,Top
C30,36.9570,42.9260,180.00,Top
C31,40.1320,42.9895,0.00,Top
C32,37.2110,39.8780,180.00,Top
C33,37.2110,41.4020,180.00,Top
C34,45.4660,20.5740,-90.00,Top
C35,50.4190,32.2580,90.00,Top
C36,30.9880,39.7510,90.00,Top
C37,44.7040,40.2590,0.00,Top
C38,33.6550,43.1800,0.00,Top
C39,52.9590,35.1790,0.00,Top
C40,33.6550,41.5290,0.00,Top
C41,50.2920,26.1620,-90.00,Top
C42,52.9590,36.8300,0.00,Top
C43,43.7515,20.4470,-90.00,Top
C44,41.4020,20.8280,-90.00,Top
C45,44.9580,42.0370,0.00,Top
C46,52.0700,32.3850,90.00,Top
C47,51.9430,25.9080,-90.00,Top
C48,29.7180,29.2100,180.00,Top
C49,32.2580,28.5115,90.00,Top
C50,35.3695,22.6695,0.00,Top
C51,35.5600,20.9550,0.00,Top
C52,31.1150,34.5440,180.00,Top
C53,39.4970,20.7010,-90.00,Top
C54,37.9730,20.7010,-90.00,Top
C55,32.7025,22.3520,-90.00,Top
C56,33.2740,25.0825,0.00,Top
C57,31.1150,36.0680,180.00,Top
C58,41.0210,40.5765,90.00,Top
CONN1,65.5320,15.2400,90.00,Top
D1,18.4150,7.7216,180.00,Top
ECC1,20.9550,42.9260,-90.00,Top
F2,9.8044,40.7670,0.00,Top
FD1,1.2700,49.9110,0.00,Top
FD2,60.9520,7.5970,0.00,Top
FD3,7.7686,10.8776,0.00,Top
IC1,9.7790,33.8455,-90.00,Top
IC2,41.7830,31.1150,-90.00,Top
IC4,28.0670,38.7350,-90.00,Top
ICSP0,64.6430,27.9400,-90.00,Top
IOH0,30.2260,50.8000,0.00,Top
IOL0,54.6100,50.8000,0.00,Top
JP1,22.2250,8.7376,0.00,Top
L0,1.6256,45.5676,90.00,Top
L2,33.7820,39.3700,180.00,Top
LED1,12.8270,43.8150,180.00,Top
ON0,1.6764,43.9674,90.00,Top
PC1,29.4894,11.0490,90.00,Top
PC2,44.1452,10.6934,90.00,Top
POWER0,36.8300,2.5400,0.00,Top
R1,30.9880,16.2560,-90.00,Top
R2,7.7470,43.9420,180.00,Top
R3,8.8900,36.1950,180.00,Top
R4,30.0990,21.2725,180.00,Top
R5,58.7502,31.0134,-90.00,Top
R6,39.4970,40.5765,-90.00,Top
R7,17.0180,10.1600,-90.00,Top
R8,9.0170,38.9890,180.00,Top
R9,14.7955,33.4010,0.00,Top
R10,27.3050,42.2910,-90.00,Top
R11,7.7470,45.4660,180.00,Top
R12,15.7480,35.6870,0.00,Top
R13,25.7810,42.2910,-90.00,Top
R14,55.2450,44.3230,0.00,Top
R15,13.8684,11.9634,0.00,Top
R16,32.5120,16.2560,90.00,Top
R17,58.2930,44.3230,180.00,Top
RESET0,6.2230,49.4030,180.00,Top
SW1,21.9456,3.3528,0.00,Top
SW2,58.1660,40.7670,-90.00,Top
T2,19.6850,10.2870,90.00,Top
TP1,56.2610,39.4970,180.00,Bottom
TP2,52.3240,43.3070,180.00,Bottom
TR1,28.6004,18.1356,-90.00,Top
U1,36.8046,11.0490,-90.00,Top
U2,40.3860,15.1130,0.00,Top
U3,55.5244,28.6258,180.00,Top
U$11,67.3100,20.1930,0.00,Top
U$12,68.5800,0.0000,180.00,Bottom
U$18,0.0000,0.0000,0.00,Top
X2,51.1810,14.2240,-90.00,Top
X4,4.0640,38.1000,-90.00,Top
X5,7.2390,5.2070,0.00,Top
X6,16.6624,22.8092,0.00,Top
Y1,29.8450,25.2095,180.00,Top
