Comment,Designator,Footprint,LCSC Part #
,JP3,Adafruit MiniLipo-import-fps:1X01-CLEANBIG,C7501259
,"JP1,JP2",Adafruit MiniLipo-import-fps:1X02_ROUND,C492401
,U$13,Adafruit MiniLipo-import-fps:ADAFRUIT_5MM,
,X1,Adafruit MiniLipo-import-fps:USB-MINI_MEDIUM,
10K\,R3,Adafruit MiniLipo-import-fps:0805-NO,C17414
10µF,"C1,C2",Adafruit MiniLipo-import-fps:0805-NO,
2.5K,R4,Adafruit MiniLipo-import-fps:0805-NO,
470,"R1,R2",Adafruit MiniLipo-import-fps:0805-NO,C17710
GREEN,LED2,Adafruit MiniLipo-import-fps:CHIPLED_0805_NOOUTLINE,
JSTPH,CN2,Adafruit MiniLipo-import-fps:JSTPH2,
MCP73831T-2ACI/OT,U1,Adafruit MiniLipo-import-fps:SOT23-5,
RED,LED1,Adafruit MiniLipo-import-fps:CHIPLED_0805_NOOUTLINE,
