Designator,Comment,Footprint,OOMP ID,Reason
PLABEL0,,Adafruit microSD BFF-import-fps:PLABEL0,,No verified LCSC part number
PLABEL1,,Adafruit microSD BFF-import-fps:PLABEL1,,No verified LCSC part number
PLABEL2,,Adafruit microSD BFF-import-fps:PLABEL2,,No verified LCSC part number
PLABEL3,,Adafruit microSD BFF-import-fps:PLABEL3,,No verified LCSC part number
PLABEL4,,Adafruit microSD BFF-import-fps:PLABEL4,,No verified LCSC part number
PLABEL5,,Adafruit microSD BFF-import-fps:PLABEL5,,No verified LCSC part number
PLABEL6,,Adafruit microSD BFF-import-fps:PLABEL6,,No verified LCSC part number
PLABEL7,,Adafruit microSD BFF-import-fps:PLABEL7,,No verified LCSC part number
TP1,,Adafruit microSD BFF-import-fps:TESTPOINT_PAD_1MM,,No verified LCSC part number
U$2,,Adafruit microSD BFF-import-fps:ADAFRUIT_3.5MM,,No verified LCSC part number
U$3,,Adafruit microSD BFF-import-fps:PCBFEAT-REV-040,,No verified LCSC part number
U$6,FIDUCIAL_1MM,Adafruit microSD BFF-import-fps:FIDUCIAL_1MM,,No verified LCSC part number
U$8,FIDUCIAL_1MM,Adafruit microSD BFF-import-fps:FIDUCIAL_1MM,,No verified LCSC part number
X1,MicroSD,Adafruit microSD BFF-import-fps:MOLEX_104031-0811,,No verified LCSC part number
