Comment,Designator,Footprint,LCSC Part #
,"SW1,SW2",Adafruit PiMiniTFT 240x240-import-fps:EVQ-Q2_SMALLER,
,U$6,Adafruit PiMiniTFT 240x240-import-fps:PCBFEAT-REV-040,
,U$15,Adafruit PiMiniTFT 240x240-import-fps:STEMMAQT,
10,R5,Adafruit PiMiniTFT 240x240-import-fps:0603-NO,C22859
10K,"R1,R2,R3,R8",Adafruit PiMiniTFT 240x240-import-fps:0603-NO,C98220
10uF,"C1,C10",Adafruit PiMiniTFT 240x240-import-fps:0805-NO,
1K,R7,Adafruit PiMiniTFT 240x240-import-fps:0603-NO,C2907002
1uF,C2,Adafruit PiMiniTFT 240x240-import-fps:0603-NO,C5673
APX803,IC5,Adafruit PiMiniTFT 240x240-import-fps:SOT23,
DISP_LCD_ST7789_1.3IN,DISPLAY1,Adafruit PiMiniTFT 240x240-import-fps:TFT_1.3IN_240X240_24P,
MICROSD,U$4,Adafruit PiMiniTFT 240x240-import-fps:ADAFRUIT_3.5MM,
MMBT2222,Q1,Adafruit PiMiniTFT 240x240-import-fps:SOT23-WIDE,
RASPBERRYPI_2X12_SMT,RASPI1,Adafruit PiMiniTFT 240x240-import-fps:RASPBERRYPI_2X12_SMT,
STEMMA_I2C_QT,CONN1,Adafruit PiMiniTFT 240x240-import-fps:JST_SH4,C160404
