Designator,Mid X,Mid Y,Rotation,Layer
C1,26.8010,12.9400,0.00,Bottom
C2,5.1230,10.2730,180.00,Bottom
C10,5.0840,8.4950,180.00,Bottom
CONN1,3.4330,1.7640,180.00,Bottom
DISPLAY1,29.1505,-2.8080,180.00,Bottom
IC5,20.9590,14.2100,90.00,Bottom
Q1,26.5470,15.7340,-90.00,Bottom
R1,12.5770,18.7820,180.00,Bottom
R2,19.6890,16.4960,0.00,Bottom
R3,12.5770,15.6070,180.00,Bottom
R5,24.1340,13.7020,-90.00,Bottom
R7,26.5470,18.2740,0.00,Bottom
R8,22.8640,16.4960,180.00,Bottom
RASPI1,-6.6000,-2.3000,0.00,Top
SW1,-2.6000,17.7000,90.00,Top
SW2,-2.6000,7.7000,90.00,Top
U$4,7.8700,13.4160,180.00,Bottom
U$6,29.7220,18.2740,180.00,Bottom
U$15,6.6350,1.5780,90.00,Bottom
