Ref,Val,Package,PosX,PosY,Rot,Side
"PLABEL3","","PLABEL3",9.906000,8.382000,180.000000,bottom
"PLABEL4","","PLABEL4",6.477000,12.573000,180.000000,bottom
"PLABEL5","","PLABEL5",6.096000,11.557000,180.000000,bottom
"PLABEL6","","PLABEL6",6.858000,8.890000,180.000000,bottom
"PLABEL7","","PLABEL7",7.620000,6.350000,180.000000,bottom
"PLABEL8","","PLABEL8",25.273000,9.017000,180.000000,bottom
"PLABEL9","","PLABEL9",14.605000,3.556000,180.000000,bottom
"PLABEL10","","PLABEL10",12.446000,3.429000,180.000000,bottom
"PLABEL11","","PLABEL11",9.779000,3.556000,180.000000,bottom
"PLABEL12","","PLABEL12",18.161000,3.556000,180.000000,bottom
"PLABEL13","","PLABEL13",20.574000,15.748000,180.000000,bottom
"SJ1","","SOLDERJUMPER_CLOSEDWIRE",8.255000,12.636500,-0.000000,bottom
"SJ2","","SOLDERJUMPER_CLOSEDWIRE",8.890000,6.223000,90.000000,bottom
"U$5","","PCBFEAT-REV-040",2.540000,16.510000,-0.000000,bottom
"U$12","","ADAFRUIT_3.5MM",4.826000,1.016000,180.000000,bottom
"C1","2.2uF+/35V+","0805-NO",17.081500,3.937000,0.000000,top
"D1","RED","CHIPLED_0603_NOOUTLINE",4.445000,1.905000,90.000000,top
"D2","GREEN","CHIPLED_0603_NOOUTLINE",4.445000,15.621000,90.000000,top
"D3","1N400x/SM4002","SOD-123",12.573000,3.937000,180.000000,top
"FID2","FIDUCIAL_1MM","FIDUCIAL_1MM",19.685000,16.637000,0.000000,top
"FID3","FIDUCIAL_1MM","FIDUCIAL_1MM",9.207500,5.270500,0.000000,top
"JP1","0.1" Header","1X03_OVAL",2.667000,8.890000,-90.000000,top
"JP3","","1X04_ROUND",12.700000,1.905000,0.000000,top
"PLABEL0","","PLABEL0",1.016000,15.113000,0.000000,top
"PLABEL1","","PLABEL1",1.143000,1.524000,0.000000,top
"PLABEL2","","PLABEL2",12.827000,13.335000,0.000000,top
"Q1","AO3406","SOT23-WIDE",10.287000,15.748000,0.000000,top
"R1","10K","0603-NO",6.731000,2.159000,90.000000,top
"R2","10K","0603-NO",10.414000,13.208000,180.000000,top
"R3","10K","0603-NO",6.477000,15.748000,-90.000000,top
"U$1","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",22.860000,2.540000,0.000000,top
"U$3","","SYMBOL_PLUS",19.812000,3.810000,0.000000,top
"U$8","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",22.860000,15.240000,0.000000,top
"U$9","","SYMBOL_MINUS",19.685000,13.970000,0.000000,top
"X1","2060-402/998-404","P-2060-402_998-404",17.653000,8.890000,0.000000,top
"X4","JST PH 3","JSTPH3",4.635500,8.890000,90.000000,top
