Ref,Val,Package,PosX,PosY,Rot,Side
"TP1","","TESTPOINT_ROUND_2MM",27.686000,10.795000,180.000000,bottom
"TP2","","TESTPOINT_ROUND_2MM",30.480000,10.795000,-90.000000,bottom
"TP3","","TESTPOINT_ROUND_2MM",33.020000,10.795000,180.000000,bottom
"TP4","","TESTPOINT_ROUND_2MM",35.560000,10.795000,180.000000,bottom
"TP5","","TESTPOINT_ROUND_2MM",38.100000,10.795000,180.000000,bottom
"U$5","","ADAFRUIT_TEXT_30MM",55.118000,12.700000,180.000000,bottom
"A0","","SOLDERJUMPER_REFLOW_NOPASTE",38.100000,10.795000,90.000000,top
"A1","","SOLDERJUMPER_REFLOW_NOPASTE",35.560000,10.795000,90.000000,top
"A2","","SOLDERJUMPER_REFLOW_NOPASTE",33.020000,10.795000,90.000000,top
"A3","","SOLDERJUMPER_REFLOW_NOPASTE",30.480000,10.795000,-90.000000,top
"A4","","SOLDERJUMPER_REFLOW_NOPASTE",27.686000,10.795000,-90.000000,top
"C1","0.1uF","0805-NO",23.622000,20.066000,180.000000,top
"C2","0.1uF","0805-NO",24.511000,23.876000,0.000000,top
"C3","0.1uF","0805-NO",46.609000,14.605000,180.000000,top
"C4","47uF/16v","PANASONIC_C",48.387000,21.717000,0.000000,top
"C5","47uF+/16v","PANASONIC_C",13.716000,15.367000,0.000000,top
"C6","10uF","0805-NO",19.685000,17.907000,0.000000,top
"C9","10\0uF 6.3V","PANASONIC_C",7.366000,42.037000,180.000000,top
"C10","10uF","0805-NO",47.371000,10.287000,180.000000,top
"CN1","1X4-CLEANBIG","1X04-CLEANBIG",54.610000,5.969000,180.000000,top
"D0-7","","1X08-CLEANBIG",54.610000,47.244000,180.000000,top
"IC1","TB6612FNG","SSOP24",13.970000,22.987000,-90.000000,top
"IC3","TB6612FNG","SSOP24",54.356000,14.859000,90.000000,top
"J1","1X5","1X05-3.5MM",3.810000,22.860000,-90.000000,top
"J2","1X5","1X05-3.5MM",65.151000,14.224000,-90.000000,top
"JP1","","1X04_ROUND_76",60.960000,39.370000,90.000000,top
"JP2","","1X08-CLEANBIG",36.830000,5.969000,180.000000,top
"JP3","","1X10_ROUND70",30.226000,47.244000,0.000000,top
"JP4","","1X02_ROUND",57.150000,9.144000,180.000000,top
"LED1","Green","CHIPLED_0805_NOOUTLINE",15.367000,10.287000,-90.000000,top
"MPOWER0","1X2-3.5MM","1X2-3.5MM",20.447000,3.937000,0.000000,top
"PWR0","","JP1",21.844000,10.160000,-90.000000,top
"Q1","AOD417","D-PAK_TO252AA",6.350000,8.382000,90.000000,top
"R1","10k","0805-NO",38.100000,15.240000,-90.000000,top
"R2","10k","0805-NO",35.560000,15.240000,-90.000000,top
"R3","10k","0805-NO",33.020000,15.240000,-90.000000,top
"R4","1K","0805-NO",19.558000,15.367000,180.000000,top
"R5","10k","0805-NO",30.480000,15.240000,-90.000000,top
"R6","10k","0805-NO",27.686000,15.240000,-90.000000,top
"R7","10K","0805-NO",20.066000,45.212000,180.000000,top
"R8","10K","0805-NO",15.367000,45.720000,180.000000,top
"SERPWR0","1X2-3.5MM","1X2-3.5MM",2.032000,48.768000,-90.000000,top
"SERVO1","","1X03",9.398000,50.165000,0.000000,top
"SERVO2","","1X03",9.398000,47.625000,0.000000,top
"SJ1","","SOLDERJUMPER_2WAY_OPEN_NOPASTE",36.830000,8.128000,180.000000,top
"SW1","SPST_TACT-EVQQ2","EVQ-Q2",5.461000,35.941000,180.000000,top
"U$1","ARDUINO_R3_ICSP","ARDUINOR3_ICSP",0.000000,0.000000,0.000000,top
"U$2","FIDUCIAL","FIDUCIAL_1MM",48.387000,1.651000,0.000000,top
"U$3","FIDUCIAL","FIDUCIAL_1MM",1.524000,43.688000,0.000000,top
"U$4","FIDUCIAL","FIDUCIAL_1MM",65.278000,38.862000,0.000000,top
"U$6","","ADAFRUIT_3.5MM",40.386000,10.922000,0.000000,top
"U2","PCA9685","TSSOP28",34.798000,22.606000,90.000000,top
"UNK_HOLE_0","","dummyfp0",15.240000,50.800000,0.000000,top
"UNK_HOLE_1","","dummyfp1",66.040000,35.560000,0.000000,top
"UNK_HOLE_2","","dummyfp2",13.970000,2.540000,0.000000,top
