Ref,Val,Package,PosX,PosY,Rot,Side
"U$10","","PCBFEAT-REV-040",1.778000,14.605000,180.000000,bottom
"C1","22uF","0805-NO",3.429000,4.826000,0.000000,top
"C2","22uF","0805-NO",7.239000,6.350000,-90.000000,top
"FID1","FIDUCIAL_1MM","FIDUCIAL_1MM",1.778000,15.621000,0.000000,top
"IC1","MPM3610","MPM3610",3.429000,7.620000,-90.000000,top
"JP1","","1X04_ROUND",5.080000,2.540000,180.000000,top
"R1","75K","0603-NO",7.874000,8.763000,180.000000,top
"R2","75K","0603-NO",6.858000,10.795000,180.000000,top
"R3","24K","0603-NO",3.810000,10.795000,180.000000,top
"U$9","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",5.080000,14.605000,0.000000,top
"U$11","","ADAFRUIT_2.5MM",2.794000,11.303000,90.000000,top
