Comment,Designator,Footprint,LCSC Part #
,JP2,Adafruit MPR121Q QT-import-fps:1X07_ROUND_70,C7501585
,JP1,Adafruit MPR121Q QT-import-fps:1X13_ROUND_70,C2894936
,U$37,Adafruit MPR121Q QT-import-fps:ADAFRUIT_3.5MM,
,U$9,Adafruit MPR121Q QT-import-fps:PCBFEAT-REV-040,
,"U$39,U$40",Adafruit MPR121Q QT-import-fps:STEMMAQT,
0.1uF,"C4,C7",Adafruit MPR121Q QT-import-fps:0603-NO,C14663
10K,"R1,R6,R9",Adafruit MPR121Q QT-import-fps:0603-NO,C98220
10K,R8,Adafruit MPR121Q QT-import-fps:RESPACK_4X0603,C98220
10uF,"C5,C6",Adafruit MPR121Q QT-import-fps:0805-NO,
1K,R7,Adafruit MPR121Q QT-import-fps:0603-NO,C2907002
75K,R5,Adafruit MPR121Q QT-import-fps:0603-NO,C2907067
AP2112K-3.3,U2,Adafruit MPR121Q QT-import-fps:SOT23-5,
BSS138,Q3,Adafruit MPR121Q QT-import-fps:SOT363,
GREEN,D2,Adafruit MPR121Q QT-import-fps:CHIPLED_0603_NOOUTLINE,
MPR121,U1,Adafruit MPR121Q QT-import-fps:QFN20_3MM_NOTHERMAL,
RED,D1,Adafruit MPR121Q QT-import-fps:CHIPLED_0603_NOOUTLINE,
STEMMA_I2C_QT,"CONN3,CONN4",Adafruit MPR121Q QT-import-fps:JST_SH4,C160404
