Comment,Designator,Footprint,LCSC Part #
,U$6,Adafruit NeoKey Trinkey-import-fps:ADAFRUIT_9MM,
,U$8,Adafruit NeoKey Trinkey-import-fps:PCBFEAT-REV-040,
,CN1,Adafruit NeoKey Trinkey-import-fps:USBA_PCB,
10uF,"C3,C8",Adafruit NeoKey Trinkey-import-fps:0805-NO,
1uF,"C4,C5",Adafruit NeoKey Trinkey-import-fps:0603-NO,C5673
AP2112K-3.3,U1,Adafruit NeoKey Trinkey-import-fps:SOT23-5,
ATSAMD21E,IC3,Adafruit NeoKey Trinkey-import-fps:QFN32_5MM,
KMR2,RESET0,Adafruit NeoKey Trinkey-import-fps:BTN_KMR2_4.6X2.8,
MX,SW1,Adafruit NeoKey Trinkey-import-fps:KAILH_BOX_MX_NOSTABILIZERS,
RST,RST0,Adafruit NeoKey Trinkey-import-fps:TP16R,
SWC,SWC0,Adafruit NeoKey Trinkey-import-fps:TP15R,
SWD,SWD0,Adafruit NeoKey Trinkey-import-fps:TP15R,
WS2812B_SK6812E,LED1,Adafruit NeoKey Trinkey-import-fps:NEO3535_REVERSE,
