Designator,Comment,Footprint,OOMP ID,Reason
C1,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C2,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C3,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C4,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C5,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C6,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C7,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C9,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C10,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C11,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C12,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C13,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C14,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C15,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C17,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C18,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C19,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C20,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C21,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C22,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C23,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
C25,1.0uF,Adafruit_NeoMatrix_8x8 SK6812-import-fps:0805-NO,,No verified LCSC part number
