Designator,Comment,Footprint,OOMP ID,Reason
C2,,Adafruit NeoPixel Ring 24 B-import-fps:C0603,,No verified LCSC part number
C3,,Adafruit NeoPixel Ring 24 B-import-fps:C0603,,No verified LCSC part number
C4,,Adafruit NeoPixel Ring 24 B-import-fps:C0603,,No verified LCSC part number
C5,,Adafruit NeoPixel Ring 24 B-import-fps:C0603,,No verified LCSC part number
C7,,Adafruit NeoPixel Ring 24 B-import-fps:C0603,,No verified LCSC part number
C8,,Adafruit NeoPixel Ring 24 B-import-fps:C0603,,No verified LCSC part number
C10,,Adafruit NeoPixel Ring 24 B-import-fps:C0603,,No verified LCSC part number
C12,,Adafruit NeoPixel Ring 24 B-import-fps:C0603,,No verified LCSC part number
C14,,Adafruit NeoPixel Ring 24 B-import-fps:C0603,,No verified LCSC part number
C16,,Adafruit NeoPixel Ring 24 B-import-fps:C0603,,No verified LCSC part number
C17,,Adafruit NeoPixel Ring 24 B-import-fps:C0603,,No verified LCSC part number
C19,,Adafruit NeoPixel Ring 24 B-import-fps:C0603,,No verified LCSC part number
C20,,Adafruit NeoPixel Ring 24 B-import-fps:C0603,,No verified LCSC part number
C21,,Adafruit NeoPixel Ring 24 B-import-fps:C0603,,No verified LCSC part number
C22,,Adafruit NeoPixel Ring 24 B-import-fps:C0603,,No verified LCSC part number
LED1,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED2,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED3,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED4,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED5,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED6,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED7,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED8,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED9,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED10,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED11,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED12,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED13,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED14,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED15,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED16,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED17,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
LED18,WS2812B5050,Adafruit NeoPixel Ring 24 B-import-fps:WS2812B-NARROW,electronic_led_5050_rgb_ws2812b_worldsemi_ws2812b_b_w,No verified LCSC part number
