Comment,Designator,Footprint,LCSC Part #
,"E$16,E$60,E$63",Adafruit_PyRuler-import-fps:0201,
,"E$23,E$61",Adafruit_PyRuler-import-fps:0402,
,"E$24,E$62",Adafruit_PyRuler-import-fps:0603,
,E$25,Adafruit_PyRuler-import-fps:0805,
,E$26,Adafruit_PyRuler-import-fps:1206,
,E$27,Adafruit_PyRuler-import-fps:1210,
,"JP3,JP4",Adafruit_PyRuler-import-fps:1X05_ROUND_70,C42431835
,E$28,Adafruit_PyRuler-import-fps:2010,
,E$38,Adafruit_PyRuler-import-fps:CRYSTAL-SMD-2.5X2,
,E$37,Adafruit_PyRuler-import-fps:CRYSTAL-SMD-3.2X2.5,
,E$36,Adafruit_PyRuler-import-fps:CRYSTAL-SMD-5X3.2,
,E$52,Adafruit_PyRuler-import-fps:DIODE-SYMB,
,"E$17,E$18,E$19,E$20,E$21,E$22",Adafruit_PyRuler-import-fps:EDGE-INCHES-TENTH,
,"E$1,E$2,E$3,E$4,E$5,E$6,E$7,E$8,E$9,E$10,E$11,E$12,E$13,E$14,E$15",Adafruit_PyRuler-import-fps:EDGE-MILLIMETERS,
,E$39,Adafruit_PyRuler-import-fps:HC49UP,
,E$53,Adafruit_PyRuler-import-fps:LED-GUIDE,
,E$41,Adafruit_PyRuler-import-fps:MICROMELF-R,
,E$50,Adafruit_PyRuler-import-fps:NMOS-SYMB,
,E$54,Adafruit_PyRuler-import-fps:NPN-SYMB,
,U$7,Adafruit_PyRuler-import-fps:PCBFEAT-REV-040,
,E$51,Adafruit_PyRuler-import-fps:PMOS-SYMB,
,E$59,Adafruit_PyRuler-import-fps:PNP-SYMB,
,U$2,Adafruit_PyRuler-import-fps:PYRULER_BOTTOM,
,U$14,Adafruit_PyRuler-import-fps:PYRULER_TOP,
,E$55,Adafruit_PyRuler-import-fps:QFN-24,
,E$35,Adafruit_PyRuler-import-fps:SC70,
,E$42,Adafruit_PyRuler-import-fps:SC79_INFINEON,
,E$43,Adafruit_PyRuler-import-fps:SMA-DIODE,
,E$44,Adafruit_PyRuler-import-fps:SMB-DIODE,
,E$45,Adafruit_PyRuler-import-fps:SMC,
,E$57,Adafruit_PyRuler-import-fps:SO08,
,E$47,Adafruit_PyRuler-import-fps:SOD-128,
,E$48,Adafruit_PyRuler-import-fps:SOD-323,
,E$49,Adafruit_PyRuler-import-fps:SOD80C,
,E$31,Adafruit_PyRuler-import-fps:SOT223,
,E$34,Adafruit_PyRuler-import-fps:SOT23-3,
,E$33,Adafruit_PyRuler-import-fps:SOT23-5,
,E$32,Adafruit_PyRuler-import-fps:SOT89,
,E$58,Adafruit_PyRuler-import-fps:TQFP32-5MM,
,U$20,Adafruit_PyRuler-import-fps:TRINKET_M0_TOP,
,E$56,Adafruit_PyRuler-import-fps:TSSOP16,
,E$40,Adafruit_PyRuler-import-fps:XTAL-2X1.2,
10K,"R4,R5,R6",Adafruit_PyRuler-import-fps:0603-NO,C98220
10uF,"C1,C8",Adafruit_PyRuler-import-fps:0805-NO,
1uF,"C2,C3",Adafruit_PyRuler-import-fps:0603-NO,C5673
2.2K,"R1,R2,R3",Adafruit_PyRuler-import-fps:0603-NO,C4190
2M,R7,Adafruit_PyRuler-import-fps:0603-NO,
4U#20329,CN1,Adafruit_PyRuler-import-fps:4UCONN_20329_NARROW,
AP102-2020,LED1,Adafruit_PyRuler-import-fps:APA102_2020,
AP2112K-3.3,U1,Adafruit_PyRuler-import-fps:SOT23-5,
ATSAMD21E,IC3,Adafruit_PyRuler-import-fps:QFN32_5MM,
blue,L3,Adafruit_PyRuler-import-fps:CHIPLED_0603_NOOUTLINE,
FIDUCIAL_1MM,"U$1,U$6",Adafruit_PyRuler-import-fps:FIDUCIAL_1MM,
green,"L4,PWR0",Adafruit_PyRuler-import-fps:CHIPLED_0603_NOOUTLINE,
red,"L0,L2",Adafruit_PyRuler-import-fps:CHIPLED_0603_NOOUTLINE,
reset,Q2,Adafruit_PyRuler-import-fps:BTN_KMR2_4.6X2.8,
SCHOTTKY,"D2,D3",Adafruit_PyRuler-import-fps:SOD-123FL,
"TPB1,27","SWC0,SWD0","Adafruit_PyRuler-import-fps:B1,27",
yellow,L1,Adafruit_PyRuler-import-fps:CHIPLED_0603_NOOUTLINE,
