Ref,Val,Package,PosX,PosY,Rot,Side
"C2","1uF","_0402NO",8.432800,1.841500,-90.000000,bottom
"C3","1uF","_0402NO",14.046200,2.044700,180.000000,bottom
"C5",".1uF","_0402NO",10.490200,1.219200,-90.000000,bottom
"C7","1.2pF","_0402NO",4.521200,5.473700,180.000000,bottom
"C9","1.2pF","_0402NO",4.495800,4.318000,180.000000,bottom
"C11","0.1uF","_0402NO",5.080000,16.891000,180.000000,bottom
"C12","1uF","_0402NO",10.185400,18.275300,-0.000000,bottom
"C19","1uF","0603-NO_WIDE",10.439400,11.696700,180.000000,bottom
"D1","  NSR0320","SOD-323_MINI",14.363700,15.582900,-90.000000,bottom
"D2","  NSR0320","SOD-323_MINI",14.376400,18.834100,90.000000,bottom
"GND0","","TESTPOINT_MINUS_1X3MM",6.985000,19.558000,-0.000000,bottom
"IC1","CP2102N-24","QFN24_4MM_SMSC",8.890000,15.176500,-90.000000,bottom
"L2","2.2nH","_0402",6.096000,4.648200,90.000000,bottom
"Q5","DUAL NPN","SOT363",4.724400,8.356600,-90.000000,bottom
"R1","10K","_0402NO",14.071600,1.104900,-0.000000,bottom
"R2","10K","_0402NO",4.521200,6.654800,180.000000,bottom
"R3","10K","_0402NO",4.876800,10.083800,-0.000000,bottom
"R4","22K","_0402NO",12.865100,17.043400,-90.000000,bottom
"R7","10K","_0402NO",11.874500,16.827500,90.000000,bottom
"SWC1","TPB1,27","B1,27",15.811500,1.016000,180.000000,bottom
"SWC2","TPB1,27","B1,27",2.260600,19.697700,180.000000,bottom
"U$3","","QTPY_ESP32_BOT",17.780000,0.000000,180.000000,bottom
"U$12","","PCBFEAT-REV-040",12.014200,1.485900,180.000000,bottom
"VBAT0","","TESTPOINT_PLUS_1X3MM",10.795000,19.558000,-0.000000,bottom
"X2","ESP-32-PICO-V3-02","QFN48_7X7",10.731500,6.794500,-0.000000,bottom
"C1","22uF","0805-NO",11.861800,12.738100,180.000000,top
"C6","22uF","0805-NO",13.423900,9.804400,90.000000,top
"C8","22uF","0805-NO",10.452100,6.934200,180.000000,top
"CONN1","STEMMA_I2C_QTSKINNY","JST_SH4_SKINNY",11.074400,2.578100,0.000000,top
"JP1","","1X07_CASTEL",1.270000,10.350500,-90.000000,top
"JP3","","1X07_CASTEL",16.510000,10.350500,90.000000,top
"LED1","WS2812B_SK6805_1515","SK6805_1515",13.093700,6.997700,0.000000,top
"Q1","BOOT0","BTN_KMR2_4.6X2.8",6.096000,11.049000,180.000000,top
"Q2","reset","BTN_KMR2_4.6X2.8",6.096000,7.112000,180.000000,top
"R5","5.1K","_0402NO",7.302500,13.106400,0.000000,top
"R6","5.1K","_0402NO",9.271000,12.928600,0.000000,top
"U$6","FIDUCIAL_1MM","FIDUCIAL_1MM",6.197600,19.494500,0.000000,top
"U$8","FIDUCIAL_1MM","FIDUCIAL_1MM",10.160000,0.711200,0.000000,top
"U$22","","QTPY_ESP32_TOP",0.000000,0.000000,0.000000,top
"U1","AP2112K-3.3","SOT23-5",10.909300,9.867900,180.000000,top
"X1","2.4GHz","ANT_2450AT18B100",4.635500,1.358900,180.000000,top
"X6","USB TYPE C","USB_C_CUSB31-CFM2AX-01-X",8.890000,17.907000,180.000000,top
