Designator,Comment,Footprint,OOMP ID,Reason
C1,10uF,Adafruit Qualia Driver-import-fps:_0805,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C2,4.7uF/50V,Adafruit Qualia Driver-import-fps:_0805,electronic_capacitor_0805_4_7_micro_farad,No verified LCSC part number
C3,4.7nF,Adafruit Qualia Driver-import-fps:_0805,,No verified LCSC part number
C4,4.7uF/50V,Adafruit Qualia Driver-import-fps:_0805,electronic_capacitor_0805_4_7_micro_farad,No verified LCSC part number
C5,4.7uF/50V,Adafruit Qualia Driver-import-fps:_0805,electronic_capacitor_0805_4_7_micro_farad,No verified LCSC part number
C6,4.7uF/50V,Adafruit Qualia Driver-import-fps:_0805,electronic_capacitor_0805_4_7_micro_farad,No verified LCSC part number
C7,4.7uF/50V,Adafruit Qualia Driver-import-fps:_0805,electronic_capacitor_0805_4_7_micro_farad,No verified LCSC part number
C8,4.7uF/50V,Adafruit Qualia Driver-import-fps:_0805,electronic_capacitor_0805_4_7_micro_farad,No verified LCSC part number
C9,10uF/16V,Adafruit Qualia Driver-import-fps:_0805,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C10,10uF/16V,Adafruit Qualia Driver-import-fps:_0805,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C11,22nF,Adafruit Qualia Driver-import-fps:_0805,,No verified LCSC part number
C12,10uF,Adafruit Qualia Driver-import-fps:_0805,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C13,10uF,Adafruit Qualia Driver-import-fps:_0805,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
C14,0.1uF,Adafruit Qualia Driver-import-fps:_0805,,No verified LCSC part number
C15,0.1uF,Adafruit Qualia Driver-import-fps:_0805,,No verified LCSC part number
C16,47uF 25V,Adafruit Qualia Driver-import-fps:PANASONIC_C,,No verified LCSC part number
D1,PDS560-13,Adafruit Qualia Driver-import-fps:POWERDI-5,,No verified LCSC part number
D2,1N4148,Adafruit Qualia Driver-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
IC1,ATTINY85-20S,Adafruit Qualia Driver-import-fps:SOIC8,,No verified LCSC part number
ISP1,AVRISP-6,Adafruit Qualia Driver-import-fps:AVRISP,,No verified LCSC part number
L1,22uH,Adafruit Qualia Driver-import-fps:INDUCTOR_6X6MM_SUMIDA_CDRH5D28,,No verified LCSC part number
L2,4.7uH (445-6526-1-ND),Adafruit Qualia Driver-import-fps:INDUCTOR_5X5MM_TDK_VLC5045,,No verified LCSC part number
LED1,green,Adafruit Qualia Driver-import-fps:CHIPLED_0805,electronic_led_0805_green,No verified LCSC part number
ON/OFF0,EG1390,Adafruit Qualia Driver-import-fps:EG1390,,No verified LCSC part number
Q1,IRLR024NTRPBF,Adafruit Qualia Driver-import-fps:DPAK,,No verified LCSC part number
R4,20K,Adafruit Qualia Driver-import-fps:_0805,electronic_resistor_0805_20000_ohm,No verified LCSC part number
R6,20K,Adafruit Qualia Driver-import-fps:_0805MP,electronic_resistor_0805_20000_ohm,No verified LCSC part number
R7,20K,Adafruit Qualia Driver-import-fps:_0805MP,electronic_resistor_0805_20000_ohm,No verified LCSC part number
R9,20K,Adafruit Qualia Driver-import-fps:_0805,electronic_resistor_0805_20000_ohm,No verified LCSC part number
R13,0.058,Adafruit Qualia Driver-import-fps:2512,,No verified LCSC part number
R14,20K,Adafruit Qualia Driver-import-fps:_0805,electronic_resistor_0805_20000_ohm,No verified LCSC part number
SW1,SPST_TACT-EVQQ2,Adafruit Qualia Driver-import-fps:EVQ-Q2,,No verified LCSC part number
SW2,SPST_TACT-EVQQ2,Adafruit Qualia Driver-import-fps:EVQ-Q2,,No verified LCSC part number
SW3,SPST_TACT-EVQQ2,Adafruit Qualia Driver-import-fps:EVQ-Q2,,No verified LCSC part number
T1,IRLML2246,Adafruit Qualia Driver-import-fps:SOT-23,,No verified LCSC part number
T2,IRLML2246,Adafruit Qualia Driver-import-fps:SOT-23,,No verified LCSC part number
TP1,GND,Adafruit Qualia Driver-import-fps:TESTPOINT_ROUND_1MM,,No verified LCSC part number
TP2,VIN,Adafruit Qualia Driver-import-fps:TESTPOINT_ROUND_1MM,,No verified LCSC part number
TP3,20V,Adafruit Qualia Driver-import-fps:TESTPOINT_ROUND_1MM,,No verified LCSC part number
TP4,GND,Adafruit Qualia Driver-import-fps:TESTPOINT_ROUND_1MM,,No verified LCSC part number
U1,LT3754,Adafruit Qualia Driver-import-fps:QFN32_5MM,,No verified LCSC part number
U2,MCP16321T-330E/NG ,Adafruit Qualia Driver-import-fps:QFN16_3MM,,No verified LCSC part number
U$10,,Adafruit Qualia Driver-import-fps:SYMBOL_POSITIVE_CENTER-M,,No verified LCSC part number
U$39,,Adafruit Qualia Driver-import-fps:ADAFRUIT_TEXT_30MM,,No verified LCSC part number
X1,0472720001,Adafruit Qualia Driver-import-fps:DISPLAYPORT_0472720001,,No verified LCSC part number
X2,502250-5191,Adafruit Qualia Driver-import-fps:FPC_51PIN_502250-5191_EXT,,No verified LCSC part number
X3,2.1mm,Adafruit Qualia Driver-import-fps:DCJACK_2MM_SMT,,No verified LCSC part number
