Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1µF","_0805",20.095000,23.749000,-90.000000,top
"C2","1µF","_0805",9.144000,32.033000,0.000000,top
"C3","1µF","_0805",17.682000,23.749000,-90.000000,top
"C4","10µF","_0805",7.814000,23.649000,90.000000,top
"C5","10µF","_0805",12.339000,28.811000,90.000000,top
"FB1","","_0805",8.030000,28.829000,90.000000,top
"FB2","","_0805",10.189000,28.829000,90.000000,top
"FID1","FIDUCIAL""","FIDUCIAL_1MM",32.618000,4.900000,0.000000,top
"FID2","FIDUCIAL""","FIDUCIAL_1MM",7.718000,36.500000,0.000000,top
"FID3","FIDUCIAL""","FIDUCIAL_1MM",7.620000,5.080000,0.000000,top
"IC1","LS013B4DN04","FPC_10PIN_52892-1095",19.968000,28.430000,180.000000,top
"JP1","","1X09_ROUND_70",19.968000,2.540000,0.000000,top
"R1","10K","_0805",22.381000,20.320000,-90.000000,top
"R2","10K","_0805",24.863000,23.876000,90.000000,top
"R3","10K","_0805",16.764000,19.402000,0.000000,top
"U$19","","LOGIC_5VREADY_5MM",27.178000,33.274000,0.000000,top
"U$21","MOUNTINGHOLE3.0THIN","MOUNTINGHOLE_3.0_PLATEDTHIN",2.968000,36.000000,0.000000,top
"U$22","MOUNTINGHOLE3.0THIN","MOUNTINGHOLE_3.0_PLATEDTHIN",36.968000,36.000000,0.000000,top
"U$27","MOUNTINGHOLE3.0THIN","MOUNTINGHOLE_3.0_PLATEDTHIN",2.968000,3.000000,0.000000,top
"U$28","MOUNTINGHOLE3.0THIN","MOUNTINGHOLE_3.0_PLATEDTHIN",36.968000,3.000000,0.000000,top
"U$29","","ADAFRUIT_5MM",27.386000,20.868000,0.000000,top
"U1","74HC4050D","SOIC16",19.968000,12.954000,0.000000,top
"U2","MCP1824T-3302E/OT","SOT23-5",10.735000,23.649000,0.000000,top
