Ref,Val,Package,PosX,PosY,Rot,Side
"U$11","","PCBFEAT-REV-040",1.143000,7.366000,180.000000,bottom
"C1","10uF","0805-NO",2.159000,5.461000,0.000000,top
"FID2","FIDUCIAL""","FIDUCIAL_1MM",1.143000,7.366000,0.000000,top
"FID3","FIDUCIAL""","FIDUCIAL_1MM",16.764000,7.366000,0.000000,top
"JP2","","1X07_ROUND_70",8.890000,2.540000,0.000000,top
"R1","10K","0805-NO",5.461000,6.350000,-90.000000,top
"R2","10K","0805-NO",8.763000,5.461000,0.000000,top
"R3","10K","_0805MP",11.811000,6.350000,-90.000000,top
"R4","10K","0805-NO",15.113000,5.461000,0.000000,top
"U$1","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",2.540000,10.160000,0.000000,top
"U$2","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",15.240000,10.160000,0.000000,top
"U$13","","ADAFRUIT_2.5MM",14.986000,6.223000,90.000000,top
"U1","SHT31-DIS","SHT3X",8.890000,8.001000,0.000000,top
