Ref,Val,Package,PosX,PosY,Rot,Side
"PLABEL16","","PLABEL16",14.859000,9.271000,180.000000,bottom
"PLABEL17","","PLABEL17",12.446000,0.889000,180.000000,bottom
"PLABEL18","","PLABEL18",14.986000,0.889000,180.000000,bottom
"PLABEL19","","PLABEL19",17.780000,0.889000,180.000000,bottom
"PLABEL20","","PLABEL20",9.525000,0.889000,180.000000,bottom
"PLABEL21","","PLABEL21",9.779000,18.161000,180.000000,bottom
"PLABEL22","","PLABEL22",12.446000,18.161000,180.000000,bottom
"PLABEL23","","PLABEL23",14.986000,18.161000,180.000000,bottom
"PLABEL24","","PLABEL24",17.780000,18.161000,180.000000,bottom
"U$6","","ADAFRUIT_5MM",5.334000,7.366000,180.000000,bottom
"U$8","","PCBFEAT-REV-040",28.676600,9.702800,-0.000000,bottom
"FID1","FIDUCIAL_1MM","FIDUCIAL_1MM",25.273000,18.034000,180.000000,top
"FID2","FIDUCIAL_1MM","FIDUCIAL_1MM",6.477000,1.143000,180.000000,top
"JP1","","1X04_ROUND",13.970000,16.510000,180.000000,top
"JP2","","1X04_ROUND",13.970000,2.540000,180.000000,top
"PLABEL0","","PLABEL0",8.636000,13.335000,0.000000,top
"PLABEL1","","PLABEL1",21.971000,13.335000,0.000000,top
"PLABEL2","","PLABEL2",8.636000,10.922000,0.000000,top
"PLABEL3","","PLABEL3",21.971000,10.922000,0.000000,top
"PLABEL4","","PLABEL4",8.636000,8.255000,0.000000,top
"PLABEL5","","PLABEL5",22.225000,8.255000,0.000000,top
"PLABEL6","","PLABEL6",8.382000,5.715000,0.000000,top
"PLABEL7","","PLABEL7",22.225000,5.715000,0.000000,top
"PLABEL8","","PLABEL8",10.033000,18.161000,0.000000,top
"PLABEL9","","PLABEL9",9.906000,0.889000,0.000000,top
"PLABEL10","","PLABEL10",12.700000,0.889000,0.000000,top
"PLABEL11","","PLABEL11",12.827000,18.161000,0.000000,top
"PLABEL12","","PLABEL12",15.240000,18.161000,0.000000,top
"PLABEL13","","PLABEL13",15.367000,0.889000,0.000000,top
"PLABEL14","","PLABEL14",17.907000,0.889000,0.000000,top
"PLABEL15","","PLABEL15",17.780000,18.161000,0.000000,top
"R1","5.1K","0603-NO",6.477000,3.429000,180.000000,top
"R2","5.1K","0603-NO",6.477000,15.494000,180.000000,top
"SW1","SDA04H1SBD","DIPSWITCH_4PIN",15.240000,9.525000,90.000000,top
"U$1","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",2.540000,2.540000,0.000000,top
"U$2","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",2.540000,16.510000,0.000000,top
"U$3","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",21.590000,2.540000,0.000000,top
"U$4","MOUNTINGHOLE2.5","MOUNTINGHOLE_2.5_PLATED",21.590000,16.510000,0.000000,top
"U$5","","ADAFRUIT_2.5MM",5.334000,16.383000,0.000000,top
"X1","USB Type C","USB_C_CUSB31-CFM2AX-01-X",4.064000,9.525000,-90.000000,top
"X2","USB A Host","USB_HOST-PTH",31.750000,9.525000,90.000000,top
