Designator,Mid X,Mid Y,Rotation,Layer
C1,8.1280,11.6840,0.00,Top
C2,16.2560,6.3500,90.00,Top
C3,14.5415,6.2230,90.00,Top
C4,3.2385,13.4620,90.00,Top
C5,5.8420,9.7790,180.00,Top
C6,10.2235,6.0960,0.00,Top
C7,9.0170,8.5090,180.00,Top
C8,8.9535,10.0330,0.00,Top
D1,19.6850,12.0015,180.00,Top
D2,20.8915,12.0015,0.00,Top
D3,18.4785,12.0015,0.00,Top
JP1,13.3350,20.3200,0.00,Top
JP4,13.3350,2.5400,0.00,Top
PLABEL0,2.0320,4.1910,0.00,Top
PLABEL1,9.9060,0.8890,0.00,Top
PLABEL2,7.1120,4.1910,0.00,Top
PLABEL3,22.3520,4.1910,0.00,Top
PLABEL4,19.8120,0.8890,0.00,Top
PLABEL5,24.4475,0.8890,0.00,Top
PLABEL6,12.0015,4.1910,0.00,Top
PLABEL7,14.8590,0.8890,0.00,Top
PLABEL8,17.1450,4.0640,0.00,Top
PLABEL9,4.5720,0.8890,0.00,Top
PLABEL10,12.0650,16.3195,0.00,Top
PLABEL11,14.6685,16.3195,0.00,Top
PLABEL12,17.2720,16.3195,0.00,Top
PLABEL13,19.9390,16.2560,0.00,Top
PLABEL14,23.9395,18.7960,0.00,Top
PLABEL15,24.0030,17.3990,0.00,Top
PLABEL16,2.6035,18.2880,0.00,Top
PLABEL17,18.4150,10.0965,0.00,Top
PLABEL18,19.7485,10.0965,0.00,Top
PLABEL19,20.8915,10.0965,0.00,Top
PLABEL20,8.0010,6.6675,90.00,Top
R1,8.1280,14.8590,0.00,Top
R2,19.6850,14.8590,180.00,Top
R3,8.1280,13.3350,0.00,Top
R4,23.6220,9.9060,180.00,Top
R5,19.3675,7.6835,180.00,Top
U$7,6.9850,16.2560,0.00,Top
U$8,9.3980,16.2560,0.00,Top
U$10,22.0726,23.3172,0.00,Top
U$11,0.8890,9.5250,0.00,Top
U$12,3.8100,17.0180,180.00,Bottom
U$24,20.7645,16.1290,90.00,Bottom
VR1,23.8760,13.7160,0.00,Top
X1,13.7160,12.1920,0.00,Top
