Comment,Designator,Footprint,LCSC Part #
,JP1,Adafruit TMP119 Temperature Sensor-import-fps:1X06_ROUND_70,C37208
,U$22,Adafruit TMP119 Temperature Sensor-import-fps:ADAFRUIT_3.5MM,
,U$25,Adafruit TMP119 Temperature Sensor-import-fps:PCBFEAT-REV-040,
,PLABEL0,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL0,
,PLABEL1,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL1,
,PLABEL10,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL10,
,PLABEL11,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL11,
,PLABEL12,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL12,
,PLABEL13,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL13,
,PLABEL14,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL14,
,PLABEL15,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL15,
,PLABEL2,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL2,
,PLABEL3,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL3,
,PLABEL4,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL4,
,PLABEL5,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL5,
,PLABEL6,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL6,
,PLABEL7,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL7,
,PLABEL8,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL8,
,PLABEL9,Adafruit TMP119 Temperature Sensor-import-fps:PLABEL9,
,"U$30,U$31",Adafruit TMP119 Temperature Sensor-import-fps:STEMMAQT,
0.1uF,C1,Adafruit TMP119 Temperature Sensor-import-fps:0603-NO,C14663
10K,R1,Adafruit TMP119 Temperature Sensor-import-fps:0603-NO,C98220
10K Pack,R3,Adafruit TMP119 Temperature Sensor-import-fps:RESPACK_4X0603,C98220
10uF,C2,Adafruit TMP119 Temperature Sensor-import-fps:0805-NO,
GREEN,D1,Adafruit TMP119 Temperature Sensor-import-fps:CHIPLED_0603_NOOUTLINE,
STEMMA_I2C_QT,"CONN3,CONN4",Adafruit TMP119 Temperature Sensor-import-fps:JST_SH4,C160404
TMP119,X2,Adafruit TMP119 Temperature Sensor-import-fps:DSBGA-9,
