Designator,Comment,Footprint,OOMP ID,Reason
A0,,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOLDERJUMPER_REFLOW_NOPASTE,,No verified LCSC part number
A1,,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOLDERJUMPER_REFLOW_NOPASTE,,No verified LCSC part number
A2,,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOLDERJUMPER_REFLOW_NOPASTE,,No verified LCSC part number
C1,,Adafruit Trellis 4x4 3mm HT16K33-import-fps:_0805,,No verified LCSC part number
C2,,Adafruit Trellis 4x4 3mm HT16K33-import-fps:_0805,,No verified LCSC part number
C3,,Adafruit Trellis 4x4 3mm HT16K33-import-fps:_0805,,No verified LCSC part number
C4,,Adafruit Trellis 4x4 3mm HT16K33-import-fps:_0805,,No verified LCSC part number
C5,10uF,Adafruit Trellis 4x4 3mm HT16K33-import-fps:_0805,electronic_capacitor_0805_10_micro_farad,No verified LCSC part number
D1,1N4148,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
D2,1N4148,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
D4,1N4148,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOD-323F,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
D5,1N4148,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
D6,1N4148,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
D7,1N4148,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
D8,1N4148,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
D9,1N4148,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
D10,1N4148,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
D11,1N4148,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
D12,1N4148,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
D13,1N4148,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOD-323,electronic_diode_switching_sod_323_onsemi_1n4148ws,No verified LCSC part number
LED1,TBD,Adafruit Trellis 4x4 3mm HT16K33-import-fps:LED3MM-4X4GRID,,No verified LCSC part number
SW1,,Adafruit Trellis 4x4 3mm HT16K33-import-fps:ELAST_PAD_SQUARE_10MM_5.4MM_4X4GRID,,No verified LCSC part number
TP1,,Adafruit Trellis 4x4 3mm HT16K33-import-fps:TESTPOINT_SMT,,No verified LCSC part number
TP2,,Adafruit Trellis 4x4 3mm HT16K33-import-fps:TESTPOINT_SMT,,No verified LCSC part number
TP3,,Adafruit Trellis 4x4 3mm HT16K33-import-fps:TESTPOINT_SMT,,No verified LCSC part number
TP4,,Adafruit Trellis 4x4 3mm HT16K33-import-fps:TESTPOINT_SMT,,No verified LCSC part number
U1,HT16K33 28SOP,Adafruit Trellis 4x4 3mm HT16K33-import-fps:SOP28_300MIL,,No verified LCSC part number
U$3,,Adafruit Trellis 4x4 3mm HT16K33-import-fps:ADAFRUIT_TEXT_20MM,,No verified LCSC part number
