Designator,Mid X,Mid Y,Rotation,Layer
BAT0,0.0000,9.0170,180.00,Bottom
C1,2.0320,-7.1755,-90.00,Top
C2,-3.5560,1.3335,-90.00,Top
C3,-3.5560,4.3815,90.00,Top
C8,2.7305,-10.6045,-90.00,Top
CN1,0.0000,8.3820,180.00,Top
D2,2.2352,-4.6355,0.00,Top
D3,-2.1590,-4.6355,180.00,Top
IC3,1.0719,3.0328,90.00,Top
JP3,-6.3246,-1.2700,-90.00,Top
JP4,6.3500,-1.2700,90.00,Top
L0,5.5245,10.2870,180.00,Top
LED1,-1.5037,-1.6002,90.00,Top
PWR0,-5.5245,10.2870,180.00,Top
Q2,-0.8890,-10.8001,0.00,Top
R1,6.7310,10.1346,-90.00,Top
R4,-6.7310,10.1600,-90.00,Top
SWC0,-3.3655,2.4384,180.00,Bottom
SWD0,-3.3655,0.4445,180.00,Bottom
U1,-1.5875,-7.3660,-90.00,Top
U$1,7.6200,-13.9700,180.00,Bottom
U$6,-1.2065,-10.9220,0.00,Top
U$12,-1.3970,1.6510,90.00,Bottom
U$20,-7.6200,-13.9700,0.00,Top
