Designator,Comment,Footprint,OOMP ID,Reason
M1,2x8 IDC,Adafruit Triple LED Matrix Bonnet-import-fps:2X08_SHROUDED,,No verified LCSC part number
M2,2x8 IDC,Adafruit Triple LED Matrix Bonnet-import-fps:2X08_SHROUDED,,No verified LCSC part number
M3,2x8 IDC,Adafruit Triple LED Matrix Bonnet-import-fps:2X08_SHROUDED,,No verified LCSC part number
PLABEL0,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL0,,No verified LCSC part number
PLABEL1,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL1,,No verified LCSC part number
PLABEL2,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL2,,No verified LCSC part number
PLABEL3,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL3,,No verified LCSC part number
PLABEL4,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL4,,No verified LCSC part number
PLABEL5,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL5,,No verified LCSC part number
PLABEL6,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL6,,No verified LCSC part number
PLABEL7,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL7,,No verified LCSC part number
PLABEL8,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL8,,No verified LCSC part number
PLABEL9,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL9,,No verified LCSC part number
PLABEL10,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL10,,No verified LCSC part number
PLABEL11,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL11,,No verified LCSC part number
PLABEL12,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL12,,No verified LCSC part number
PLABEL13,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL13,,No verified LCSC part number
PLABEL14,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL14,,No verified LCSC part number
PLABEL15,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL15,,No verified LCSC part number
PLABEL16,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL16,,No verified LCSC part number
PLABEL17,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL17,,No verified LCSC part number
PLABEL18,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL18,,No verified LCSC part number
PLABEL19,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL19,,No verified LCSC part number
PLABEL20,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL20,,No verified LCSC part number
PLABEL21,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL21,,No verified LCSC part number
PLABEL22,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL22,,No verified LCSC part number
PLABEL23,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL23,,No verified LCSC part number
PLABEL24,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL24,,No verified LCSC part number
PLABEL25,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL25,,No verified LCSC part number
PLABEL26,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL26,,No verified LCSC part number
PLABEL27,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL27,,No verified LCSC part number
PLABEL28,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL28,,No verified LCSC part number
PLABEL29,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL29,,No verified LCSC part number
PLABEL30,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL30,,No verified LCSC part number
PLABEL31,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL31,,No verified LCSC part number
PLABEL32,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL32,,No verified LCSC part number
PLABEL33,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL33,,No verified LCSC part number
PLABEL34,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL34,,No verified LCSC part number
PLABEL35,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL35,,No verified LCSC part number
PLABEL36,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL36,,No verified LCSC part number
PLABEL37,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL37,,No verified LCSC part number
PLABEL38,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL38,,No verified LCSC part number
PLABEL39,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL39,,No verified LCSC part number
PLABEL40,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL40,,No verified LCSC part number
PLABEL41,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL41,,No verified LCSC part number
PLABEL42,,Adafruit Triple LED Matrix Bonnet-import-fps:PLABEL42,,No verified LCSC part number
