Comment,Designator,Footprint,LCSC Part #
,U$8,Pixie-import-fps:PCBFEAT-REV-040,
1.74 0.25W,"R1,R3,R5",Pixie-import-fps:1206,
100,R7,Pixie-import-fps:0603-RES,C22775
100,R9,Pixie-import-fps:_0603MP,C22775
"22uF,6.3V","C1,C2",Pixie-import-fps:_0805MP,
33,R8,Pixie-import-fps:0603-RES,C23140
47k,"R2,R4,R6",Pixie-import-fps:0603-RES,C2907042
ALIGN_CROSS,"U$1,U$2,U$3,U$4",Pixie-import-fps:ALIGN_CROSS,
"FIDUCIAL""""","U$6,U$7",Pixie-import-fps:FIDUCIAL_1MM,
IRLML2060TRPBF,"Q1,Q3,Q5",Pixie-import-fps:SOT23-3,
MMBT2222A,"Q2,Q4,Q6",Pixie-import-fps:SOT23-3,
PIC12(L)F157X,IC1,Pixie-import-fps:MSOP-8,
PIXIE-LOGO,U$5,Pixie-import-fps:PIXIE-LOGO,
RGBLED_CA,LED1,Pixie-import-fps:RGBLED3W4PIN,
TEST-POINT3X4,"!MCLR0,PGC0,PGD0",Pixie-import-fps:PAD.03X.04,
