Comment,Designator,Footprint,LCSC Part #
10k,"R3,R4,R7,R8",e-radionica.com footprinti:0603R,C98220
10uF,C1,e-radionica.com footprinti:1206C,
2.2uF,"C2,C3",e-radionica.com footprinti:0603C,C23630
4.7k,"R1,R2,R5,R6",e-radionica.com footprinti:0603R,C23162
CCS811B-JOPR,U2,e-radionica.com footprinti:CCS811,
easyC-SMD,"K3,K4",e-radionica.com footprinti:easyC-connector,
HEADER_MALE_2X1,K1,e-radionica.com footprinti:HEADER_MALE_2X1,
HEADER_MALE_4X1,K2,e-radionica.com footprinti:HEADER_MALE_4X1,
NMOS-DUAL,U1,e-radionica.com footprinti:SOT-363,
SE5218,U3,e-radionica.com footprinti:SOT-23-5,
SMD-JUMPER-CONNECTED_TRACE_SLODERMASK,JP4,e-radionica.com footprinti:SMD-JUMPER-CONNECTED_TRACE_SLODERMASK,
SMD_JUMPER,"JP3,JP5",e-radionica.com footprinti:SMD_JUMPER,
SMD_JUMPER_3_PAD_TRACE,"JP1,JP2",e-radionica.com footprinti:SMD_JUMPER_3_PAD_TRACE,
