Designator,Comment,Footprint,OOMP ID,Reason
C2,68uF,e-radionica.com footprinti:1210C_tantal,electronic_capacitor_1210_68_micro_farad,No verified LCSC part number
JP1,SMD_JUMPER_3_PAD_TRACE,e-radionica.com footprinti:SMD_JUMPER_3_PAD_TRACE,,No verified LCSC part number
JP2,SMD_JUMPER_3_PAD_TRACE,e-radionica.com footprinti:SMD_JUMPER_3_PAD_TRACE,,No verified LCSC part number
JP3,SMD-JUMPER-CONNECTED_TRACE_SLODERMASK,e-radionica.com footprinti:SMD-JUMPER-CONNECTED_TRACE_SLODERMASK,,No verified LCSC part number
JP4,SMD-JUMPER-CONNECTED_TRACE_SLODERMASK,e-radionica.com footprinti:SMD-JUMPER-CONNECTED_TRACE_SLODERMASK,,No verified LCSC part number
JP5,SMD_JUMPER,e-radionica.com footprinti:SMD_JUMPER,,No verified LCSC part number
K1,easyC-SMD,e-radionica.com footprinti:easyC-connector,electronic_connector_easyc_1_25_mm_pitch_surface_mount_right_angle_4_pin_jst_sm04b_gh_tf,No verified LCSC part number
K3,easyC-SMD,e-radionica.com footprinti:easyC-connector,electronic_connector_easyc_1_25_mm_pitch_surface_mount_right_angle_4_pin_jst_sm04b_gh_tf,No verified LCSC part number
U1,APDS-9960,e-radionica.com footprinti:APDS-9960,electronic_sensor_apds_9960_broadcom_apds_9960,No verified LCSC part number
U2,NMOS-DUAL,e-radionica.com footprinti:SOT-363,electronic_transistor_sot_363_6_mosfet_n_channel_dual,No verified LCSC part number
U3,SE5218,e-radionica.com footprinti:SOT-23-5,electronic_ic_sot_23_5_power_management_linear_voltage_regulator_se5218,No verified LCSC part number
