Comment,Designator,Footprint,LCSC Part #
100n,C1,e-radionica.com footprinti:0603C,C14663
10k,"R3,R4,R5,R7,R8",e-radionica.com footprinti:0603R,C98220
10u,C2,e-radionica.com footprinti:1206C,
2k2,"R9,R10",e-radionica.com footprinti:0402R,C2906920
2u2,"C3,C4",e-radionica.com footprinti:0603C,C23630
47k,R6,e-radionica.com footprinti:0603R,
4k7,R2,e-radionica.com footprinti:0603R,C23162
5k1,R1,e-radionica.com footprinti:0603R,C23186
blue,D4,e-radionica.com footprinti:0402LED,C434447
CR1220_HOLDER,K2,e-radionica.com footprinti:CR1220_HOLDER,
HEADER_MALE_8X1,K3,e-radionica.com footprinti:HEADER_MALE_8X1,
IPX connector with SMA,K1,e-radionica.com footprinti:IPX connector with SMA,
L86-M33,U2,e-radionica.com footprinti:L86-M33,
M4_DIODA,"D1,D2",e-radionica.com footprinti:M4_DIODA,
NMOS-DUAL,U1,e-radionica.com footprinti:SOT-363,
NPN-SOT-23-3,Q1,e-radionica.com footprinti:SOT-23-3,
purple,D3,e-radionica.com footprinti:0402LED,
SE5218,U3,e-radionica.com footprinti:SOT-23-5,
SMD-JUMPER-CONNECTED_TRACE_SLODERMASK,"JP1,JP3,JP4",e-radionica.com footprinti:SMD-JUMPER-CONNECTED_TRACE_SLODERMASK,
SMD_JUMPER,JP2,e-radionica.com footprinti:SMD_JUMPER,
