Designator,Comment,Footprint,OOMP ID,Reason
C3,10u,e-radionica.com footprinti:1206C,electronic_capacitor_1206_10_micro_farad,No verified LCSC part number
D1,M4_DIODA,e-radionica.com footprinti:M4_DIODA,electronic_diode_rectifier_sma_m4,No verified LCSC part number
D2,M4_DIODA,e-radionica.com footprinti:M4_DIODA,electronic_diode_rectifier_sma_m4,No verified LCSC part number
D3,purple,e-radionica.com footprinti:0402LED,electronic_led_0402,No verified LCSC part number
JP2,SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK,e-radionica.com footprinti:SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK,,No verified LCSC part number
JP4,SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK,e-radionica.com footprinti:SMD-JUMPER-CONNECTED_TRACE_SOLDERMASK,,No verified LCSC part number
K1,IPX connector with SMA,e-radionica.com footprinti:IPX connector with SMA,electronic_connector_rf_cable_assembly_ipx_to_sma_ipx_connector_with_sma,No verified LCSC part number
K3,CR1220_HOLDER,e-radionica.com footprinti:CR1220_HOLDER,electronic_connector_coin_cell_holder_through_hole_cr1220,No verified LCSC part number
K5,easyC-SMD,e-radionica.com footprinti:easyC-connector,electronic_connector_easyc_1_25_mm_pitch_surface_mount_right_angle_4_pin_jst_sm04b_gh_tf,No verified LCSC part number
K7,easyC-SMD,e-radionica.com footprinti:easyC-connector,electronic_connector_easyc_1_25_mm_pitch_surface_mount_right_angle_4_pin_jst_sm04b_gh_tf,No verified LCSC part number
K8,DSHP03TS-S,e-radionica.com footprinti:DSHP03TS-S,electronic_switch_slide_surface_mount_dpdt_ck_dshp03ts_s,No verified LCSC part number
Q1,NPN,e-radionica.com footprinti:SOT-23-3,electronic_transistor_sot_23_bipolar_npn,No verified LCSC part number
U2,L86-M33,e-radionica.com footprinti:L86-M33,electronic_sensor_gnss_module_quectel_l86_m33,No verified LCSC part number
U5,ATTINY1604-SSNR,e-radionica.com footprinti:SOIC-14,electronic_ic_soic_14_microcontroller_8_bit_avr_microchip_attiny1604_ssnr,No verified LCSC part number
