Designator,Mid X,Mid Y,Rotation,Layer
C1,74.0000,-139.2000,180.00,Top
C2,72.5000,-137.4000,0.00,Top
C3,58.3000,-142.1500,0.00,Top
C4,58.3000,-139.1500,180.00,Top
C5,71.0000,-145.7000,180.00,Top
C6,72.5000,-143.9000,180.00,Top
K1,68.8100,-132.5100,0.00,Bottom
K2,59.9200,-132.5100,0.00,Bottom
K3,65.0000,-150.2900,0.00,Bottom
Q1,72.0000,-140.9000,90.00,Top
R1,58.3000,-140.6500,0.00,Top
R2,58.3000,-137.6500,180.00,Top
R3,58.3000,-145.1500,0.00,Top
R4,58.3000,-143.6500,0.00,Top
R5,74.5000,-141.4000,90.00,Top
U1,65.0000,-141.4000,-90.00,Top
